Zip,zindex,el_avg_w,el_num11,el_num12,el_num13,el_num_avg
90603,480800.0,799.5,101.0,93.0,80.0,91.3333333333
90604,443500.0,767.076923077,1853.0,1885.0,1961.0,1899.66666667
90605,408100.0,704.8,1414.0,1446.0,1447.0,1435.66666667
90606,382400.0,764.25,1480.0,1467.0,1492.0,1479.66666667
90620,455700.0,843.0,1311.0,1205.0,1194.0,1236.66666667
90621,467200.0,771.5,1986.0,2030.0,1849.0,1955.0
90623,629200.0,848.4,912.0,890.0,869.0,890.333333333
90630,539800.0,909.375,1419.0,1465.0,1454.0,1446.0
90631,469300.0,746.357142857,2932.0,2724.0,2734.0,2796.66666667
90638,466100.0,803.6,604.0,624.0,511.0,579.666666667
90640,422000.0,660.333333333,5288.0,4932.0,4657.0,4959.0
90650,375800.0,757.045454545,4286.0,4225.0,3731.0,4080.66666667
90660,370700.0,748.285714286,2940.0,2913.0,2734.0,2862.33333333
90670,403500.0,788.8,954.0,948.0,816.0,906.0
90680,397700.0,762.5,526.0,538.0,557.0,540.333333333
90701,443400.0,794.5,570.0,594.0,624.0,596.0
90703,634800.0,835.411764706,1916.0,1965.0,2020.0,1967.0
90704,576600.0,702.0,196.0,254.0,263.0,237.666666667
90706,401700.0,739.0,2098.0,2040.0,1982.0,2040.0
90710,472800.0,711.0,1251.0,1176.0,707.0,1044.66666667
90712,468900.0,797.75,652.0,721.0,713.0,695.333333333
90713,484900.0,723.857142857,1134.0,1316.0,1286.0,1245.33333333
90715,415400.0,771.6,992.0,1020.0,1025.0,1012.33333333
90716,324100.0,728.333333333,721.0,691.0,678.0,696.666666667
90717,570100.0,772.666666667,861.0,832.0,529.0,740.666666667
90720,797000.0,892.625,316.0,314.0,300.0,310.0
90723,321000.0,764.571428571,5743.0,5903.0,5879.0,5841.66666667
90731,496200.0,721.3,1815.0,1665.0,1092.0,1524.0
90732,552500.0,815.25,177.0,170.0,149.0,165.333333333
90744,372200.0,740.875,4068.0,3736.0,2167.0,3323.66666667
90745,400900.0,736.8,2069.0,1794.0,1029.0,1630.66666667
90746,442000.0,745.6,392.0,353.0,282.0,342.333333333
90755,406800.0,788.666666667,481.0,632.0,721.0,611.333333333
90802,278200.0,766.25,1127.0,1414.0,1516.0,1352.33333333
90803,791800.0,774.25,137.0,198.0,197.0,177.333333333
90804,399100.0,727.4,1410.0,1907.0,1911.0,1742.66666667
90805,345800.0,726.75,3782.0,4830.0,4855.0,4489.0
90806,422800.0,765.75,833.0,1145.0,1164.0,1047.33333333
90807,515000.0,799.25,380.0,539.0,567.0,495.333333333
90808,567700.0,731.25,811.0,885.0,903.0,866.333333333
90810,349300.0,704.25,2220.0,2707.0,2694.0,2540.33333333
90813,321000.0,688.666666667,2705.0,3371.0,3416.0,3164.0
90814,642700.0,819.0,269.0,307.0,295.0,290.333333333
90815,572700.0,728.714285714,1058.0,1524.0,1514.0,1365.33333333
91001,650900.0,717.0,518.0,490.0,488.0,498.666666667
91006,1031300.0,863.8,690.0,523.0,654.0,622.333333333
91007,1126100.0,887.666666667,1029.0,856.0,831.0,905.333333333
91010,429800.0,713.0,1030.0,1000.0,908.0,979.333333333
91011,1435500.0,920.25,265.0,271.0,264.0,266.666666667
91016,560300.0,728.125,785.0,818.0,849.0,817.333333333
91024,828200.0,751.0,66.0,62.0,51.0,59.6666666667
91030,851900.0,886.8,346.0,364.0,374.0,361.333333333
91040,462100.0,755.333333333,494.0,456.0,319.0,423.0
91042,474400.0,741.25,744.0,654.0,415.0,604.333333333
91101,452600.0,744.0,267.0,291.0,292.0,283.333333333
91103,581100.0,712.4,1081.0,1042.0,956.0,1026.33333333
91104,648700.0,744.5,950.0,941.0,933.0,941.333333333
91105,1021400.0,722.0,69.0,76.0,56.0,67.0
91106,554400.0,654.0,431.0,423.0,420.0,424.666666667
91107,764300.0,695.7,1655.0,1552.0,1132.0,1446.33333333
91108,2134200.0,880.25,177.0,212.0,196.0,195.0
91201,645700.0,821.333333333,563.0,621.0,580.0,588.0
91202,655700.0,756.0,1505.0,1455.0,1318.0,1426.0
91203,411500.0,861.0,254.0,244.0,220.0,239.333333333
91204,424600.0,722.0,333.0,347.0,305.0,328.333333333
91205,508400.0,796.0,1961.0,1924.0,1829.0,1904.66666667
91206,657400.0,741.0,1412.0,1419.0,1332.0,1387.66666667
91208,817600.0,882.5,300.0,319.0,346.0,321.666666667
91214,702100.0,874.333333333,1339.0,1290.0,1188.0,1272.33333333
91303,394400.0,674.333333333,1728.0,1693.0,1355.0,1592.0
91304,528800.0,729.2,782.0,718.0,512.0,670.666666667
91306,448200.0,739.428571429,1929.0,1907.0,1504.0,1780.0
91307,572700.0,853.5,184.0,175.0,153.0,170.666666667
91311,532200.0,745.333333333,1225.0,1117.0,587.0,976.333333333
