Zip,zindex,sd_avg_w,sd_num11,sd_num12,sd_num13,sd_num_avg
92029,630500.0,829.0,89.0,100.0,85.0,91.3333333333
91024,828200.0,829.0,187.0,183.0,217.0,195.666666667
91201,645700.0,829.0,623.0,697.0,718.0,679.333333333
91790,446000.0,828.9,2825.0,2923.0,3214.0,2987.33333333
92119,487000.0,828.8,773.0,725.0,734.0,744.0
92120,506600.0,828.666666667,1657.0,1574.0,1731.0,1654.0
90230,639800.0,828.25,2288.0,2141.0,2232.0,2220.33333333
90503,738500.0,828.125,1006.0,1207.0,1329.0,1180.66666667
92508,401300.0,828.0,1699.0,1696.0,1941.0,1778.66666667
96027,170100.0,828.0,130.0,141.0,141.0,137.333333333
93612,166800.0,827.8,1699.0,1832.0,1959.0,1830.0
92618,723800.0,827.0,50.0,66.0,63.0,59.6666666667
95693,527800.0,826.0,76.0,71.0,90.0,79.0
93950,713000.0,825.6,262.0,302.0,358.0,307.333333333
92110,503000.0,825.333333333,489.0,475.0,526.0,496.666666667
92122,589500.0,825.2,1289.0,1263.0,1341.0,1297.66666667
94595,476400.0,825.0,23.0,21.0,29.0,24.3333333333
90041,652000.0,824.444444444,3338.0,3011.0,3066.0,3138.33333333
90623,629200.0,824.4,1321.0,1524.0,1455.0,1433.33333333
91701,470000.0,824.4,2390.0,2708.0,2954.0,2684.0
92683,528200.0,824.1875,6778.0,6744.0,7076.0,6866.0
95747,391600.0,824.083333333,2266.0,2158.0,2257.0,2227.0
90012,408700.0,823.5,2301.0,2495.0,2532.0,2442.66666667
95677,348700.0,823.4,592.0,592.0,662.0,615.333333333
91942,414000.0,823.333333333,566.0,559.0,519.0,548.0
94568,672000.0,823.142857143,440.0,440.0,479.0,453.0
91361,866800.0,823.0,48.0,50.0,61.0,53.0
91356,834400.0,822.5,1289.0,1486.0,1339.0,1371.33333333
92591,377800.0,822.285714286,1640.0,1638.0,1796.0,1691.33333333
91737,544700.0,822.2,954.0,1126.0,1269.0,1116.33333333
95446,338300.0,822.0,137.0,132.0,121.0,130.0
92103,611200.0,822.0,1137.0,1257.0,1407.0,1267.0
90814,642700.0,822.0,462.0,494.0,508.0,488.0
94930,742200.0,821.5,113.0,115.0,145.0,124.333333333
91354,496900.0,821.4,287.0,361.0,433.0,360.333333333
91505,615100.0,821.333333333,803.0,389.0,820.0,670.666666667
91803,548300.0,821.25,1564.0,1549.0,1618.0,1577.0
95630,424600.0,821.25,763.0,846.0,877.0,828.666666667
95663,509500.0,821.0,29.0,26.0,26.0,27.0
92249,160800.0,821.0,782.0,750.0,878.0,803.333333333
92602,790000.0,821.0,541.0,668.0,784.0,664.333333333
92104,478800.0,820.666666667,713.0,670.0,715.0,699.333333333
91423,821000.0,820.666666667,1139.0,1272.0,1117.0,1176.0
92592,401200.0,820.3125,1987.0,2136.0,2396.0,2173.0
94583,778700.0,819.428571429,253.0,178.0,358.0,263.0
90240,485500.0,819.0,1833.0,1770.0,1862.0,1821.66666667
90232,913100.0,819.0,406.0,404.0,424.0,411.333333333
94706,718100.0,819.0,536.0,612.0,635.0,594.333333333
94708,997000.0,819.0,133.0,135.0,147.0,138.333333333
91504,646700.0,819.0,903.0,202.0,890.0,665.0
92009,736500.0,818.333333333,663.0,670.0,752.0,695.0
93643,227800.0,818.0,75.0,77.0,128.0,93.3333333333
91770,490600.0,817.928571429,4844.0,4623.0,5798.0,5088.33333333
91205,508400.0,817.8,2521.0,2623.0,2779.0,2641.0
95391,487100.0,817.333333333,278.0,303.0,257.0,279.333333333
96055,133300.0,817.0,363.0,363.0,380.0,368.666666667
95942,277100.0,816.0,17.0,29.0,27.0,24.3333333333
92270,482600.0,816.0,224.0,221.0,216.0,220.333333333
94517,678500.0,816.0,97.0,131.0,133.0,120.333333333
91325,586700.0,816.0,3087.0,3205.0,3201.0,3164.33333333
92397,242000.0,816.0,62.0,57.0,57.0,58.6666666667
92807,627100.0,815.875,735.0,851.0,1014.0,866.666666667
93611,259400.0,815.611111111,4867.0,5229.0,5405.0,5167.0
90638,466100.0,815.5,1938.0,2282.0,2547.0,2255.66666667
92128,526900.0,815.5,443.0,487.0,560.0,496.666666667
92782,642300.0,815.25,250.0,284.0,331.0,288.333333333
92256,112600.0,815.0,118.0,109.0,111.0,112.666666667
94598,826800.0,814.833333333,238.0,295.0,351.0,294.666666667
90039,705900.0,814.8,876.0,828.0,814.0,839.333333333
92612,659300.0,814.666666667,331.0,357.0,389.0,359.0
95379,164600.0,814.333333333,275.0,283.0,281.0,279.666666667
91910,400100.0,814.333333333,5296.0,5097.0,5754.0,5382.33333333
92123,466800.0,814.142857143,1085.0,960.0,1012.0,1019.0
90670,403500.0,814.0,2951.0,2927.0,2893.0,2923.66666667
90717,570100.0,813.333333333,2030.0,2047.0,1904.0,1993.66666667
92584,309800.0,813.111111111,2698.0,2932.0,2979.0,2869.66666667
93427,491500.0,813.0,144.0,250.0,200.0,198.0
93527,174800.0,812.0,96.0,83.0,83.0,87.3333333333
92833,471300.0,811.666666667,2035.0,2521.0,2675.0,2410.33333333
