Zip,zindex,wh_avg_w,wh_num11,wh_num12,wh_num13,wh_num_avg
94597,657200.0,912.0,953.0,937.0,921.0,937.0
95742,343900.0,912.0,155.0,211.0,254.0,206.666666667
92103,611200.0,911.6,525.0,535.0,568.0,542.666666667
94583,778700.0,911.555555556,3124.0,3022.0,3034.0,3060.0
95065,661100.0,911.5,149.0,167.0,154.0,156.666666667
90603,480800.0,911.333333333,271.0,246.0,260.0,259.0
95816,425100.0,911.0,556.0,547.0,528.0,543.666666667
90065,599100.0,911.0,270.0,309.0,328.0,302.333333333
94596,804600.0,910.666666667,1062.0,1107.0,1095.0,1088.0
93117,754600.0,910.6,1754.0,1685.0,1616.0,1685.0
90041,652000.0,910.5,488.0,432.0,444.0,454.666666667
93650,107400.0,910.5,131.0,127.0,131.0,129.666666667
90245,846600.0,910.5,1232.0,1321.0,1340.0,1297.66666667
92110,503000.0,910.0,343.0,292.0,306.0,313.666666667
95409,536500.0,909.666666667,1055.0,1045.0,981.0,1027.0
94089,748000.0,909.0,28.0,31.0,37.0,32.0
92648,797500.0,909.0,2589.0,2563.0,2613.0,2588.33333333
94582,944400.0,908.666666667,1388.0,1375.0,1388.0,1383.66666667
91104,648700.0,908.333333333,374.0,393.0,425.0,397.333333333
92264,277100.0,908.0,167.0,169.0,166.0,167.333333333
92883,423200.0,907.75,979.0,1172.0,1175.0,1108.66666667
91354,496900.0,907.4,2065.0,2005.0,2068.0,2046.0
92614,611100.0,907.0,830.0,903.0,924.0,885.666666667
92029,630500.0,907.0,276.0,266.0,231.0,257.666666667
93430,746900.0,907.0,131.0,145.0,142.0,139.333333333
94517,678500.0,907.0,896.0,893.0,869.0,886.0
92128,526900.0,906.666666667,2594.0,2505.0,2532.0,2543.66666667
94019,904400.0,906.6,951.0,942.0,949.0,947.333333333
92677,727400.0,906.375,2707.0,2542.0,2495.0,2581.33333333
92673,806300.0,906.333333333,3423.0,3469.0,3564.0,3485.33333333
90045,815900.0,906.125,522.0,487.0,424.0,477.666666667
93427,491500.0,906.0,311.0,222.0,216.0,249.666666667
96143,362100.0,906.0,61.0,58.0,83.0,67.3333333333
95746,650400.0,906.0,2306.0,2252.0,2110.0,2222.66666667
91913,457300.0,905.6,1246.0,1181.0,1168.0,1198.33333333
91607,702200.0,905.5,288.0,291.0,300.0,293.0
91316,534800.0,905.333333333,263.0,284.0,316.0,287.666666667
91740,447100.0,905.25,451.0,448.0,434.0,444.333333333
92612,659300.0,905.0,973.0,1013.0,976.0,987.333333333
91902,529400.0,905.0,128.0,122.0,118.0,122.666666667
91321,407200.0,904.444444444,2413.0,2309.0,2183.0,2301.66666667
92260,321800.0,904.4,1815.0,1857.0,1841.0,1837.66666667
91423,821000.0,904.333333333,1358.0,1429.0,1455.0,1414.0
92373,419100.0,904.285714286,1394.0,1351.0,1273.0,1339.33333333
92211,325000.0,904.0,181.0,200.0,202.0,194.333333333
91775,753000.0,904.0,158.0,155.0,151.0,154.666666667
92119,487000.0,903.2,963.0,932.0,914.0,936.333333333
92653,658300.0,903.0,1306.0,1263.0,1160.0,1243.0
91403,842500.0,903.0,453.0,429.0,450.0,444.0
94588,789400.0,902.833333333,2304.0,2249.0,2113.0,2222.0
92646,682100.0,902.6,3882.0,3862.0,3899.0,3881.0
92630,597800.0,902.125,3051.0,2938.0,2756.0,2915.0
91942,414000.0,901.75,1007.0,922.0,933.0,954.0
95405,445700.0,901.5,809.0,823.0,807.0,813.0
92120,506600.0,901.333333333,1751.0,1790.0,1735.0,1758.66666667
94704,790100.0,901.0,852.0,796.0,895.0,847.666666667
94037,931200.0,901.0,137.0,127.0,116.0,126.666666667
91505,615100.0,901.0,991.0,1023.0,992.0,1002.0
94043,909200.0,900.75,295.0,292.0,304.0,297.0
92886,678300.0,900.7,3252.0,3137.0,3007.0,3132.0
92692,634400.0,900.5,2995.0,2868.0,2721.0,2861.33333333
94534,426900.0,900.333333333,1158.0,1618.0,1619.0,1465.0
91773,518300.0,900.0,1823.0,1756.0,1740.0,1773.0
92536,308800.0,900.0,100.0,100.0,87.0,95.6666666667
91356,834400.0,900.0,1573.0,1492.0,1439.0,1501.33333333
95452,847500.0,900.0,86.0,76.0,85.0,82.3333333333
95677,348700.0,899.833333333,1545.0,1558.0,1565.0,1556.0
90808,567700.0,899.75,1648.0,1608.0,1632.0,1629.33333333
