Zip,zindex,di_avg_w,di_num11,di_num12,di_num13,di_num_avg
90602,448600.0,687.5,71.0,70.0,64.0,68.3333333333
90603,480800.0,747.0,130.0,110.0,112.0,117.333333333
90604,443500.0,690.75,877.0,874.0,947.0,899.333333333
90605,408100.0,678.625,540.0,545.0,583.0,556.0
90606,382400.0,656.375,470.0,505.0,506.0,493.666666667
90620,455700.0,706.25,496.0,473.0,456.0,475.0
90621,467200.0,621.833333333,433.0,442.0,405.0,426.666666667
90623,629200.0,649.6,358.0,345.0,360.0,354.333333333
90630,539800.0,705.285714286,560.0,536.0,529.0,541.666666667
90631,469300.0,641.818181818,746.0,758.0,744.0,749.333333333
90638,466100.0,706.0,628.0,643.0,557.0,609.333333333
90640,422000.0,552.9,1067.0,1142.0,1276.0,1161.66666667
90650,375800.0,656.285714286,1553.0,1608.0,1537.0,1566.0
90660,370700.0,634.076923077,743.0,783.0,867.0,797.666666667
90670,403500.0,648.8,293.0,320.0,345.0,319.333333333
90680,397700.0,582.5,107.0,107.0,131.0,115.0
90701,443400.0,708.75,187.0,199.0,211.0,199.0
90703,634800.0,699.2,754.0,815.0,824.0,797.666666667
90704,576600.0,619.0,50.0,55.0,61.0,55.3333333333
90706,401700.0,655.285714286,656.0,642.0,628.0,642.0
90710,472800.0,569.0,410.0,401.0,378.0,396.333333333
90712,468900.0,708.428571429,391.0,375.0,391.0,385.666666667
90713,484900.0,613.285714286,887.0,929.0,979.0,931.666666667
90715,415400.0,637.6,273.0,279.0,381.0,311.0
90716,324100.0,633.333333333,122.0,138.0,143.0,134.333333333
90717,570100.0,648.666666667,279.0,285.0,296.0,286.666666667
90720,797000.0,824.25,481.0,493.0,553.0,509.0
90723,321000.0,639.214285714,974.0,1041.0,1078.0,1031.0
90731,496200.0,648.909090909,908.0,889.0,860.0,885.666666667
90732,552500.0,784.75,260.0,257.0,223.0,246.666666667
90740,809300.0,756.0,69.0,82.0,104.0,85.0
90744,372200.0,605.75,1051.0,966.0,808.0,941.666666667
