Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
90808,567700.0,918.666666667,91.0,79.0,81.0,83.6666666667
90701,443400.0,918.0,174.0,188.0,199.0,187.0
90277,918300.0,918.0,72.0,74.0,82.0,76.0
90242,414700.0,918.0,14.0,11.0,12.0,12.3333333333
91214,702100.0,917.2,178.0,191.0,193.0,187.333333333
91342,404800.0,917.0,14.0,19.0,15.0,16.0
92324,212500.0,917.0,54.0,53.0,46.0,51.0
92336,377900.0,916.777777778,329.0,336.0,325.0,330.0
93012,517700.0,916.4,200.0,200.0,188.0,196.0
94583,778700.0,916.333333333,167.0,177.0,182.0,175.333333333
92886,678300.0,916.333333333,53.0,58.0,57.0,56.0
92881,464300.0,916.2,225.0,223.0,200.0,216.0
94534,426900.0,916.125,537.0,673.0,708.0,639.333333333
91765,624600.0,915.285714286,252.0,232.0,231.0,238.333333333
91910,400100.0,915.181818182,744.0,726.0,679.0,716.333333333
91324,508200.0,915.0,172.0,180.0,201.0,184.333333333
94132,854100.0,915.0,132.0,121.0,118.0,123.666666667
91208,817600.0,915.0,21.0,16.0,17.0,18.0
91203,411500.0,915.0,47.0,39.0,41.0,42.3333333333
91701,470000.0,915.0,131.0,125.0,129.0,128.333333333
92880,489900.0,914.857142857,397.0,395.0,418.0,403.333333333
91791,517900.0,914.75,176.0,161.0,150.0,162.333333333
92780,574400.0,914.75,98.0,93.0,88.0,93.0
95020,595400.0,914.666666667,59.0,70.0,59.0,62.6666666667
92056,412800.0,914.5,49.0,40.0,29.0,39.3333333333
90039,705900.0,914.333333333,80.0,93.0,64.0,79.0
92870,568400.0,914.333333333,66.0,83.0,80.0,76.3333333333
95117,845300.0,914.0,14.0,13.0,15.0,14.0
94596,804600.0,914.0,23.0,29.0,35.0,29.0
91355,464500.0,914.0,282.0,289.0,280.0,283.666666667
95816,425100.0,914.0,13.0,15.0,14.0,14.0
91790,446000.0,913.714285714,154.0,169.0,183.0,168.666666667
91505,615100.0,913.0,71.0,71.0,69.0,70.3333333333
91423,821000.0,913.0,44.0,50.0,53.0,49.0
92373,419100.0,913.0,69.0,60.0,64.0,64.3333333333
92123,466800.0,913.0,58.0,45.0,42.0,48.3333333333
92563,357400.0,912.916666667,697.0,673.0,638.0,669.333333333
93312,267200.0,912.888888889,208.0,190.0,189.0,195.666666667
95355,246900.0,912.666666667,201.0,194.0,219.0,204.666666667
90712,468900.0,912.6,150.0,129.0,125.0,134.666666667
94566,919800.0,912.5,122.0,125.0,116.0,121.0
91750,540200.0,912.0,15.0,15.0,12.0,14.0
92130,896100.0,912.0,34.0,35.0,40.0,36.3333333333
91768,319900.0,912.0,30.0,27.0,32.0,29.6666666667
94568,672000.0,911.333333333,224.0,256.0,275.0,251.666666667
91780,654900.0,911.0,20.0,23.0,24.0,22.3333333333
91504,646700.0,910.666666667,95.0,86.0,85.0,88.6666666667
90815,572700.0,910.5,201.0,198.0,201.0,200.0
91737,544700.0,910.0,84.0,88.0,91.0,87.6666666667
91915,453700.0,910.0,558.0,565.0,567.0,563.333333333
93311,266000.0,909.666666667,183.0,183.0,171.0,179.0
94555,722200.0,909.666666667,126.0,125.0,115.0,122.0
95765,405200.0,909.5,153.0,161.0,186.0,166.666666667
91205,508400.0,908.4,402.0,395.0,415.0,404.0
91206,657400.0,908.25,308.0,299.0,268.0,291.666666667
92107,766900.0,908.0,13.0,13.0,12.0,12.6666666667
92586,182700.0,908.0,31.0,30.0,23.0,28.0
95677,348700.0,908.0,24.0,25.0,16.0,21.6666666667
91343,456200.0,907.875,305.0,320.0,351.0,325.333333333
92124,545000.0,907.25,112.0,111.0,110.0,111.0
94597,657200.0,907.0,57.0,63.0,61.0,60.3333333333
90638,466100.0,906.571428571,153.0,153.0,171.0,159.0
92840,447800.0,906.5,48.0,47.0,55.0,50.0
92807,627100.0,906.0,97.0,98.0,115.0,103.333333333
92677,727400.0,906.0,12.0,16.0,12.0,13.3333333333
92551,231400.0,905.75,158.0,154.0,150.0,154.0
94526,990400.0,905.333333333,49.0,58.0,68.0,58.3333333333
95368,242000.0,905.0,17.0,17.0,21.0,18.3333333333
91350,456400.0,904.833333333,183.0,160.0,152.0,165.0
91506,640600.0,904.666666667,194.0,180.0,172.0,182.0
90041,652000.0,904.285714286,695.0,748.0,722.0,721.666666667
93010,525600.0,904.25,114.0,105.0,110.0,109.666666667
91902,529400.0,904.0,59.0,44.0,51.0,51.3333333333
94595,476400.0,904.0,14.0,14.0,13.0,13.6666666667
92596,344700.0,904.0,77.0,91.0,79.0,82.3333333333
95678,291300.0,903.75,150.0,150.0,155.0,151.666666667
92801,424600.0,903.666666667,194.0,184.0,181.0,186.333333333
92503,292300.0,903.4,127.0,128.0,128.0,127.666666667
92128,526900.0,903.333333333,362.0,302.0,286.0,316.666666667
92253,386400.0,903.0,21.0,21.0,26.0,22.6666666667
91911,372300.0,902.777777778,231.0,233.0,207.0,223.666666667
92691,606600.0,902.125,242.0,226.0,240.0,236.0
92122,589500.0,902.0,160.0,148.0,123.0,143.666666667
91384,468800.0,901.666666667,84.0,87.0,73.0,81.3333333333
92592,401200.0,901.538461538,648.0,634.0,621.0,634.333333333
90623,629200.0,901.0,382.0,383.0,371.0,378.666666667
95747,391600.0,900.428571429,282.0,278.0,267.0,275.666666667
91752,405200.0,900.0,20.0,16.0,22.0,19.3333333333
90505,812100.0,899.8,128.0,121.0,118.0,122.333333333
92692,634400.0,899.75,82.0,86.0,80.0,82.6666666667
92019,435900.0,899.666666667,70.0,70.0,42.0,60.6666666667
90241,488300.0,899.666666667,90.0,90.0,82.0,87.3333333333
91605,423200.0,899.5,63.0,70.0,64.0,65.6666666667
92591,377800.0,899.333333333,320.0,343.0,318.0,327.0
90503,738500.0,898.833333333,209.0,223.0,230.0,220.666666667
92882,407800.0,898.833333333,146.0,150.0,162.0,152.666666667
91344,523800.0,898.571428571,618.0,590.0,598.0,602.0
91745,578900.0,898.5,54.0,44.0,45.0,47.6666666667
92008,718500.0,898.5,54.0,46.0,51.0,50.3333333333
91786,402400.0,898.5,76.0,58.0,63.0,65.6666666667
92562,366100.0,898.166666667,220.0,246.0,215.0,227.0
95391,487100.0,898.0,248.0,254.0,261.0,254.333333333
91107,764300.0,898.0,78.0,80.0,81.0,79.6666666667
92507,280600.0,898.0,18.0,23.0,19.0,20.0
92129,652300.0,897.75,871.0,786.0,802.0,819.666666667
92260,321800.0,897.5,44.0,40.0,41.0,41.6666666667
94611,942300.0,897.5,27.0,29.0,29.0,28.3333333333
90250,467300.0,897.5,87.0,101.0,93.0,93.6666666667
91201,645700.0,897.0,16.0,22.0,13.0,17.0
90744,372200.0,897.0,68.0,64.0,67.0,66.3333333333
91325,586700.0,897.0,203.0,227.0,199.0,209.666666667
94561,337400.0,896.833333333,193.0,217.0,206.0,205.333333333
94066,732000.0,896.75,288.0,285.0,281.0,284.666666667
94585,286000.0,896.5,160.0,217.0,230.0,202.333333333
93063,478800.0,896.333333333,81.0,88.0,92.0,87.0
92346,264600.0,896.0,57.0,53.0,53.0,54.3333333333
93230,160900.0,895.6,111.0,99.0,100.0,103.333333333
91010,429800.0,895.6,144.0,140.0,129.0,137.666666667
92555,296400.0,895.333333333,184.0,200.0,200.0,194.666666667
93551,302900.0,895.166666667,219.0,221.0,175.0,205.0
91204,424600.0,895.0,43.0,57.0,52.0,50.6666666667
92648,797500.0,895.0,18.0,19.0,18.0,18.3333333333
92081,466600.0,895.0,44.0,56.0,50.0,50.0
92313,295500.0,895.0,30.0,28.0,18.0,25.3333333333
90504,579000.0,894.666666667,115.0,103.0,99.0,105.666666667
92626,641900.0,894.0,37.0,33.0,37.0,35.6666666667
91351,399000.0,894.0,228.0,205.0,198.0,210.333333333
92102,363200.0,894.0,23.0,25.0,25.0,24.3333333333
92832,431400.0,894.0,20.0,14.0,13.0,15.6666666667
95757,378600.0,893.666666667,777.0,814.0,845.0,812.0
90501,545800.0,893.5,239.0,257.0,270.0,255.333333333
95616,578700.0,893.5,28.0,30.0,26.0,28.0
92802,447600.0,893.333333333,57.0,61.0,58.0,58.6666666667
92656,511400.0,893.333333333,166.0,168.0,172.0,168.666666667
92782,642300.0,892.5,54.0,54.0,50.0,52.6666666667
92675,643900.0,892.0,27.0,38.0,47.0,37.3333333333
92505,301400.0,892.0,72.0,84.0,72.0,76.0
92708,666300.0,892.0,46.0,41.0,42.0,43.0
94086,987800.0,892.0,40.0,39.0,41.0,40.0
