Zip,zindex,mr_avg_w,mr_num11,mr_num12,mr_num13,mr_num_avg
92011,767800.0,911.0,16.0,35.0,42.0,31.0
90620,455700.0,910.0,43.0,35.0,41.0,39.6666666667
94702,688800.0,910.0,25.0,25.0,30.0,26.6666666667
91737,544700.0,910.0,49.0,45.0,53.0,49.0
92604,682000.0,909.5,57.0,176.0,184.0,139.0
92596,344700.0,909.0,140.0,136.0,159.0,145.0
91709,584100.0,909.0,318.0,330.0,358.0,335.333333333
94947,625300.0,909.0,169.0,163.0,172.0,168.0
95630,424600.0,908.75,76.0,99.0,99.0,91.3333333333
92653,658300.0,908.5,68.0,67.0,85.0,73.3333333333
94596,804600.0,908.5,56.0,48.0,51.0,51.6666666667
92008,718500.0,907.714285714,246.0,217.0,238.0,233.666666667
93420,573300.0,907.333333333,65.0,65.0,71.0,67.0
92646,682100.0,906.833333333,166.0,180.0,209.0,185.0
92683,528200.0,906.5,40.0,44.0,43.0,42.3333333333
93950,713000.0,906.0,58.0,55.0,68.0,60.3333333333
91739,547600.0,905.0,301.0,312.0,327.0,313.333333333
92656,511400.0,903.25,411.0,445.0,495.0,450.333333333
91780,654900.0,902.8,92.0,102.0,113.0,102.333333333
91354,496900.0,902.5,116.0,146.0,151.0,137.666666667
92591,377800.0,902.0,321.0,325.0,352.0,332.666666667
91214,702100.0,902.0,11.0,16.0,20.0,15.6666666667
91502,445800.0,901.0,47.0,43.0,37.0,42.3333333333
91764,302100.0,900.0,15.0,18.0,16.0,16.3333333333
95065,661100.0,899.0,17.0,16.0,17.0,16.6666666667
92078,502000.0,899.0,22.0,20.0,28.0,23.3333333333
92592,401200.0,898.692307692,666.0,750.0,865.0,760.333333333
91360,602000.0,898.666666667,58.0,63.0,68.0,63.0
95020,595400.0,898.5,65.0,69.0,80.0,71.3333333333
92692,634400.0,898.4,264.0,261.0,250.0,258.333333333
92020,416600.0,898.25,96.0,110.0,125.0,110.333333333
92612,659300.0,898.0,53.0,88.0,100.0,80.3333333333
91377,692300.0,898.0,14.0,18.0,24.0,18.6666666667
94551,563900.0,898.0,20.0,23.0,24.0,22.3333333333
94546,581500.0,896.857142857,432.0,441.0,445.0,439.333333333
95746,650400.0,896.666666667,148.0,148.0,150.0,148.666666667
92119,487000.0,896.0,107.0,134.0,156.0,132.333333333
91740,447100.0,896.0,48.0,42.0,36.0,42.0
93405,598800.0,896.0,52.0,61.0,59.0,57.3333333333
92106,925700.0,896.0,56.0,57.0,69.0,60.6666666667
94534,426900.0,895.111111111,791.0,735.0,625.0,717.0
92109,718700.0,894.75,55.0,69.0,78.0,67.3333333333
94555,722200.0,894.666666667,60.0,85.0,87.0,77.3333333333
91773,518300.0,894.6,158.0,157.0,202.0,172.333333333
93401,615200.0,894.5,40.0,34.0,40.0,38.0
90630,539800.0,894.25,113.0,103.0,99.0,105.0
92120,506600.0,893.6,181.0,199.0,220.0,200.0
95054,816100.0,893.0,26.0,25.0,30.0,27.0
95662,330800.0,893.0,15.0,14.0,12.0,13.6666666667
93465,555700.0,891.5,45.0,40.0,35.0,40.0
91711,597300.0,891.333333333,174.0,191.0,222.0,195.666666667
91344,523800.0,891.0,21.0,64.0,81.0,55.3333333333
95210,162500.0,890.0,14.0,16.0,20.0,16.6666666667
95742,343900.0,890.0,49.0,55.0,65.0,56.3333333333
92123,466800.0,889.5,115.0,138.0,144.0,132.333333333
92563,357400.0,889.3,558.0,582.0,645.0,595.0
91321,407200.0,888.8,101.0,124.0,153.0,126.0
91351,399000.0,888.25,122.0,131.0,121.0,124.666666667
92629,776700.0,888.0,135.0,118.0,110.0,121.0
93611,259400.0,887.714285714,156.0,198.0,203.0,185.666666667
92336,377900.0,887.5,149.0,147.0,148.0,148.0
95961,169400.0,887.0,19.0,24.0,32.0,25.0
92126,461200.0,886.777777778,454.0,550.0,624.0,542.666666667
91107,764300.0,886.333333333,191.0,166.0,134.0,163.666666667
92056,412800.0,886.25,99.0,115.0,129.0,114.333333333
91387,446100.0,886.0,102.0,128.0,129.0,119.666666667
91942,414000.0,885.666666667,119.0,109.0,123.0,117.0
94401,703600.0,885.5,91.0,105.0,104.0,100.0
91030,851900.0,885.5,26.0,41.0,55.0,40.6666666667
95661,379100.0,885.25,112.0,119.0,154.0,128.333333333
94579,469700.0,885.0,15.0,15.0,16.0,15.3333333333
92101,486800.0,885.0,26.0,30.0,39.0,31.6666666667
91350,456400.0,884.5,29.0,39.0,49.0,39.0
93312,267200.0,884.333333333,174.0,184.0,229.0,195.666666667
92111,474300.0,884.333333333,115.0,136.0,146.0,132.333333333
93003,493400.0,884.111111111,198.0,209.0,211.0,206.0
92346,264600.0,884.0,90.0,100.0,101.0,97.0
95010,655600.0,884.0,22.0,27.0,38.0,29.0
92869,614000.0,884.0,13.0,12.0,17.0,14.0
91766,326200.0,884.0,75.0,81.0,75.0,77.0
92821,576900.0,883.0,72.0,65.0,72.0,69.6666666667
94709,772100.0,882.0,43.0,43.0,37.0,41.0
93012,517700.0,882.0,19.0,32.0,49.0,33.3333333333
95405,445700.0,881.5,22.0,35.0,29.0,28.6666666667
95650,473700.0,881.5,107.0,98.0,99.0,101.333333333
91748,562900.0,881.0,45.0,41.0,39.0,41.6666666667
92882,407800.0,881.0,17.0,37.0,20.0,24.6666666667
95380,198100.0,881.0,29.0,37.0,44.0,36.6666666667
93001,494700.0,880.5,61.0,77.0,90.0,76.0
92084,447300.0,880.5,36.0,45.0,54.0,45.0
91761,357500.0,880.333333333,88.0,83.0,57.0,76.0
95409,536500.0,880.0,12.0,17.0,12.0,13.6666666667
93510,486100.0,880.0,18.0,18.0,11.0,15.6666666667
95672,382100.0,880.0,80.0,67.0,59.0,68.6666666667
95051,859000.0,879.5,117.0,141.0,149.0,135.666666667
94805,390700.0,879.0,19.0,20.0,20.0,19.6666666667
95131,706700.0,878.0,13.0,30.0,43.0,28.6666666667
95901,161900.0,878.0,23.0,32.0,41.0,32.0
92019,435900.0,877.333333333,135.0,138.0,115.0,129.333333333
92624,747800.0,877.0,14.0,11.0,12.0,12.3333333333
90807,515000.0,877.0,44.0,39.0,36.0,39.6666666667
93460,755800.0,877.0,31.0,28.0,28.0,29.0
92083,366800.0,875.333333333,105.0,99.0,127.0,110.333333333
91010,429800.0,875.0,16.0,14.0,14.0,14.6666666667
95982,181800.0,875.0,28.0,22.0,25.0,25.0
94510,510400.0,874.833333333,299.0,359.0,418.0,358.666666667
91384,468800.0,874.5,93.0,96.0,92.0,93.6666666667
92110,503000.0,872.666666667,66.0,71.0,73.0,70.0
92832,431400.0,872.5,43.0,48.0,61.0,50.6666666667
95050,762900.0,872.333333333,68.0,80.0,84.0,77.3333333333
94568,672000.0,872.0,95.0,95.0,90.0,93.3333333333
96003,234100.0,872.0,31.0,34.0,52.0,39.0
92675,643900.0,871.75,200.0,247.0,252.0,233.0
91801,539300.0,871.5,55.0,80.0,94.0,76.3333333333
90504,579000.0,871.4,262.0,261.0,262.0,261.666666667
92124,545000.0,871.125,282.0,306.0,353.0,313.666666667
95757,378600.0,870.333333333,516.0,607.0,729.0,617.333333333
94518,521800.0,870.0,16.0,19.0,19.0,18.0
92562,366100.0,869.625,326.0,348.0,364.0,346.0
92582,234000.0,869.0,11.0,18.0,19.0,16.0
91786,402400.0,868.333333333,93.0,106.0,106.0,101.666666667
94536,693800.0,868.076923077,268.0,326.0,358.0,317.333333333
94931,437000.0,868.0,14.0,14.0,16.0,14.6666666667
92058,386200.0,868.0,14.0,33.0,31.0,26.0
94044,714100.0,867.571428571,356.0,397.0,421.0,391.333333333
92071,396000.0,867.375,362.0,373.0,415.0,383.333333333
94945,692300.0,867.333333333,47.0,45.0,43.0,45.0
92505,301400.0,867.0,61.0,60.0,37.0,52.6666666667
96067,230200.0,867.0,19.0,16.0,16.0,17.0
95060,757300.0,866.666666667,96.0,102.0,105.0,101.0
90501,545800.0,866.5,91.0,116.0,134.0,113.666666667
93063,478800.0,866.0,74.0,77.0,107.0,86.0
95747,391600.0,866.0,214.0,253.0,295.0,254.0
94043,909200.0,865.666666667,42.0,44.0,44.0,43.3333333333
90712,468900.0,865.0,53.0,54.0,60.0,55.6666666667
90631,469300.0,865.0,14.0,11.0,17.0,14.0
93612,166800.0,863.333333333,71.0,72.0,79.0,74.0
92373,419100.0,862.5,65.0,69.0,75.0,69.6666666667
91506,640600.0,861.5,87.0,95.0,89.0,90.3333333333
94553,460300.0,860.166666667,279.0,295.0,303.0,292.333333333
93306,159100.0,860.0,45.0,47.0,47.0,46.3333333333
95623,266900.0,858.0,20.0,24.0,37.0,27.0
95124,896300.0,858.0,89.0,74.0,70.0,77.6666666667
94558,494300.0,857.75,256.0,257.0,249.0,254.0
95035,729500.0,856.2,124.0,134.0,143.0,133.666666667
93442,510500.0,856.0,33.0,34.0,31.0,32.6666666667
95401,387500.0,856.0,13.0,14.0,19.0,15.3333333333
95340,187400.0,856.0,82.0,79.0,66.0,75.6666666667
94086,987800.0,856.0,14.0,14.0,12.0,13.3333333333
95829,301700.0,855.6,217.0,287.0,314.0,272.666666667
93637,176400.0,855.0,13.0,14.0,17.0,14.6666666667
95624,329700.0,854.733333333,655.0,724.0,782.0,720.333333333
91945,348000.0,854.0,48.0,66.0,108.0,74.0
92374,291200.0,853.833333333,158.0,178.0,210.0,182.0
94538,644400.0,853.6,73.0,81.0,84.0,79.3333333333
95503,230600.0,853.5,72.0,68.0,54.0,64.6666666667
91755,545500.0,853.0,19.0,14.0,13.0,15.3333333333
95370,217900.0,853.0,20.0,26.0,16.0,20.6666666667
94704,790100.0,853.0,230.0,207.0,227.0,221.333333333
91724,481800.0,853.0,125.0,116.0,110.0,117.0
95355,246900.0,852.888888889,277.0,348.0,387.0,337.333333333
93245,182200.0,852.75,59.0,64.0,65.0,62.6666666667
94585,286000.0,852.75,247.0,194.0,131.0,190.666666667
95603,340900.0,852.666666667,73.0,90.0,99.0,87.3333333333
95006,413700.0,852.5,60.0,83.0,123.0,88.6666666667
92027,367900.0,852.5,33.0,29.0,49.0,37.0
95379,164600.0,852.0,12.0,17.0,16.0,15.0
94005,675800.0,852.0,21.0,20.0,12.0,17.6666666667
91941,514100.0,851.0,297.0,370.0,395.0,354.0
91977,359000.0,850.125,176.0,170.0,169.0,171.666666667
92704,416700.0,850.0,30.0,32.0,29.0,30.3333333333
93308,173800.0,850.0,29.0,20.0,18.0,22.3333333333
95682,360100.0,849.6,114.0,130.0,152.0,132.0
91701,470000.0,849.333333333,104.0,107.0,123.0,111.333333333
95831,356500.0,848.5,329.0,255.0,240.0,274.666666667
94513,452000.0,848.333333333,104.0,178.0,266.0,182.666666667
93422,425200.0,848.0,18.0,16.0,19.0,17.6666666667
95377,414600.0,848.0,98.0,148.0,175.0,140.333333333
93277,174600.0,847.0,14.0,23.0,19.0,18.6666666667
95819,424500.0,847.0,93.0,94.0,100.0,95.6666666667
95118,782000.0,847.0,79.0,78.0,76.0,77.6666666667
95843,304600.0,845.285714286,238.0,250.0,276.0,254.666666667
95648,379300.0,844.5,128.0,127.0,134.0,129.666666667
95382,277100.0,844.0,42.0,44.0,47.0,44.3333333333
91304,528800.0,844.0,47.0,43.0,44.0,44.6666666667
92057,382000.0,844.0,53.0,71.0,93.0,72.3333333333
94560,581900.0,843.5,75.0,58.0,37.0,56.6666666667
94960,992700.0,843.0,29.0,27.0,39.0,31.6666666667
95949,335100.0,843.0,63.0,83.0,70.0,72.0
95121,610000.0,843.0,18.0,18.0,24.0,20.0
96001,217900.0,840.666666667,54.0,83.0,116.0,84.3333333333
95826,244300.0,840.0,157.0,149.0,134.0,146.666666667
95472,653200.0,840.0,29.0,38.0,31.0,32.6666666667
95348,201300.0,840.0,44.0,48.0,65.0,52.3333333333
94521,499800.0,839.75,57.0,64.0,99.0,73.3333333333
92626,641900.0,839.0,50.0,56.0,37.0,47.6666666667
90813,321000.0,839.0,23.0,38.0,44.0,35.0
93631,223500.0,838.5,41.0,45.0,42.0,42.6666666667
93940,617500.0,838.5,61.0,86.0,91.0,79.3333333333
95678,291300.0,838.0,53.0,59.0,61.0,57.6666666667
94587,604100.0,837.875,320.0,350.0,376.0,348.666666667
94403,960600.0,836.5,161.0,172.0,183.0,172.0
95132,746900.0,836.5,194.0,164.0,265.0,207.666666667
95758,293400.0,834.625,465.0,486.0,533.0,494.666666667
93035,487600.0,834.0,13.0,15.0,22.0,16.6666666667
90638,466100.0,834.0,20.0,30.0,22.0,24.0
93614,225900.0,833.0,38.0,42.0,46.0,42.0
95991,189300.0,832.714285714,180.0,208.0,237.0,208.333333333
94015,701000.0,832.5,256.0,290.0,299.0,281.666666667
94559,469800.0,832.5,29.0,27.0,34.0,30.0
93955,375500.0,832.25,131.0,120.0,142.0,131.0
94928,414300.0,832.0,86.0,89.0,103.0,92.6666666667
94589,236000.0,831.333333333,94.0,89.0,94.0,92.3333333333
92252,101800.0,831.0,15.0,14.0,14.0,14.3333333333
95713,285700.0,830.5,30.0,26.0,31.0,29.0
92139,341000.0,830.4,191.0,197.0,222.0,203.333333333
95822,194800.0,829.666666667,92.0,90.0,89.0,90.3333333333
92117,513200.0,829.6,119.0,132.0,153.0,134.666666667
93455,353800.0,829.2,89.0,103.0,124.0,105.333333333
94612,442700.0,829.0,51.0,98.0,70.0,73.0
96073,313300.0,829.0,48.0,66.0,62.0,58.6666666667
95351,139200.0,828.0,52.0,70.0,68.0,63.3333333333
94523,596100.0,828.0,73.0,84.0,116.0,91.0
94501,727800.0,828.0,79.0,73.0,81.0,77.6666666667
92585,280300.0,828.0,33.0,63.0,78.0,58.0
