Zip,zindex,avg_w
91701,470000.0,869.4
91702,366600.0,752.928571429
91706,361100.0,770.15
91708,423500.0,912.0
91709,584100.0,888.785714286
91710,408200.0,767.714285714
91711,597300.0,840.818181818
91722,401500.0,755.444444444
91723,436100.0,799.666666667
91724,481800.0,813.8
91730,364200.0,831.0
91731,402300.0,780.333333333
91732,414100.0,745.777777778
91733,395300.0,778.125
91737,544700.0,874.0
91739,547600.0,893.777777778
91740,447100.0,772.666666667
91741,586600.0,879.833333333
91744,371600.0,775.769230769
91745,578900.0,838.133333333
91746,374500.0,702.875
91748,562900.0,839.285714286
91750,540200.0,898.333333333
91752,405200.0,774.25
91754,546500.0,812.285714286
91755,545500.0,837.0
91761,357500.0,792.454545455
91762,325400.0,764.833333333
91763,332800.0,755.090909091
91764,302100.0,748.909090909
91765,624600.0,895.0
91766,326200.0,719.666666667
91767,331600.0,709.636363636
91768,319900.0,758.0
91770,490600.0,832.428571429
91773,518300.0,829.090909091
91775,753000.0,905.25
91776,556900.0,820.166666667
91780,654900.0,893.333333333
91784,586900.0,914.0
91786,402400.0,810.2
91789,699700.0,911.9
91790,446000.0,838.777777778
91791,517900.0,833.666666667
91792,435700.0,772.0
91801,539300.0,786.777777778
91803,548300.0,835.25
91901,487200.0,850.8
91902,529400.0,856.0
91906,227300.0,721.0
91910,400100.0,824.0
91911,372300.0,786.5
91913,457300.0,859.909090909
91914,609900.0,898.0
91915,453700.0,878.5
91916,354200.0,872.0
91932,382600.0,727.0
91935,602900.0,829.0
91941,514100.0,839.25
91942,414000.0,868.333333333
91945,348000.0,795.6
91950,317600.0,791.916666667
91962,305100.0,682.0
91977,359000.0,757.615384615
91978,414200.0,768.0
92004,229600.0,728.666666667
92007,860900.0,924.0
92008,718500.0,846.545454545
92009,736500.0,924.7
92011,767800.0,911.0
92014,1606500.0,943.5
92019,435900.0,814.909090909
92020,416600.0,761.769230769
92021,382400.0,762.909090909
92024,803000.0,853.2
92025,434900.0,747.555555556
92026,412100.0,764.0
92027,367900.0,720.8
92028,487100.0,769.7
92029,630500.0,892.0
92036,293500.0,796.333333333
92037,1282800.0,939.6
92040,408900.0,758.444444444
92056,412800.0,794.857142857
92057,382000.0,806.0
92058,386200.0,790.0
92061,480700.0,764.0
92064,606400.0,855.545454545
92065,433000.0,791.3
92067,2737100.0,953.666666667
92069,435800.0,769.363636364
92071,396000.0,849.727272727
92075,1172600.0,906.0
92078,502000.0,878.8
92081,466600.0,823.0
92082,503200.0,771.571428571
92083,366800.0,765.8
92084,447300.0,712.888888889
92101,486800.0,703.0
92102,363200.0,774.285714286
92103,611200.0,854.75
92104,478800.0,837.0
92105,318500.0,746.583333333
92106,925700.0,846.75
92107,766900.0,911.5
92109,718700.0,826.571428571
92110,503000.0,841.0
92111,474300.0,749.333333333
92113,303300.0,709.666666667
92114,342000.0,772.4
92115,397100.0,765.125
92116,461600.0,804.0
92117,513200.0,798.642857143
92118,1424100.0,900.75
92119,487000.0,882.25
92120,506600.0,877.833333333
92122,589500.0,892.8
92123,466800.0,834.285714286
92124,545000.0,846.25
92126,461200.0,874.555555556
92127,683300.0,927.0
92128,526900.0,905.0
92129,652300.0,915.083333333
92130,896100.0,949.833333333
92131,671500.0,934.333333333
92139,341000.0,819.142857143
92154,357500.0,781.066666667
92173,327700.0,778.166666667
92201,198700.0,766.944444444
92203,294400.0,828.5
92210,701500.0,912.0
92211,325000.0,850.0
92220,186500.0,724.5
92223,259100.0,806.7
92225,122000.0,652.0
92227,147200.0,767.888888889
92231,174300.0,688.090909091
92234,231100.0,755.333333333
92236,174100.0,715.888888889
92240,151000.0,722.571428571
92243,159400.0,756.444444444
92249,160800.0,823.0
92250,143600.0,749.5
92251,188600.0,792.2
92252,101800.0,815.0
92253,386400.0,757.571428571
92254,114000.0,729.0
92256,112600.0,833.0
92260,321800.0,849.666666667
92262,312700.0,785.5
92264,277100.0,627.5
92270,482600.0,841.0
92276,158500.0,766.0
92277,93200.0,803.714285714
92284,136300.0,734.0
92285,70400.0,805.0
92307,200400.0,787.333333333
92308,176100.0,732.0
92311,93000.0,755.6
92313,295500.0,801.0
92314,200600.0,705.5
92315,296800.0,811.333333333
92316,245900.0,746.0
92324,212500.0,722.466666667
92325,165100.0,683.5
92335,255000.0,761.176470588
92336,377900.0,793.619047619
92337,302100.0,762.545454545
92344,241700.0,656.0
92345,179000.0,760.428571429
92346,264600.0,767.571428571
92352,332000.0,807.25
92354,358900.0,877.0
92356,112300.0,715.0
92359,224900.0,849.0
92371,214900.0,805.25
92372,206700.0,787.0
92373,419100.0,818.714285714
92374,291200.0,799.4
92376,251800.0,728.9
92377,317300.0,772.666666667
92391,156700.0,826.0
92392,190900.0,759.142857143
92394,177100.0,727.0
92395,171100.0,749.307692308
92397,242000.0,866.0
92399,303100.0,779.0
92404,197500.0,718.357142857
92405,173400.0,714.714285714
92407,234600.0,780.571428571
92408,195700.0,760.0
92501,248200.0,786.0
92503,292300.0,776.5
