Zip,Total Enrollment 11,Total Enrollment 12,Total Enrollment 13,private average
91016,513.0,345.0,372.0,410.0
91020,459.0,402.0,336.0,399.0
91024,793.0,764.0,755.0,770.666666667
91030,520.0,570.0,503.0,531.0
91040,192.0,158.0,155.0,168.333333333
91042,253.0,222.0,219.0,231.333333333
91101,579.0,549.0,533.0,553.666666667
91103,1016.0,553.0,1072.0,880.333333333
91104,747.0,839.0,871.0,819.0
91105,2003.0,1975.0,2015.0,1997.66666667
91106,1488.0,1500.0,1508.0,1498.66666667
91107,1858.0,1944.0,1977.0,1926.33333333
91108,412.0,417.0,425.0,418.0
91202,436.0,474.0,445.0,451.666666667
91203,46.0,54.0,60.0,53.3333333333
91204,15.0,15.0,29.0,19.6666666667
91205,956.0,907.0,858.0,907.0
91206,611.0,564.0,558.0,577.666666667
91214,758.0,759.0,751.0,756.0
91301,122.0,110.0,100.0,110.666666667
91302,1433.0,1480.0,1487.0,1466.66666667
91303,301.0,276.0,192.0,256.333333333
91304,2758.0,2796.0,2867.0,2807.0
91306,1215.0,1151.0,997.0,1121.0
91307,499.0,452.0,628.0,526.333333333
91311,2303.0,2365.0,2360.0,2342.66666667
91316,1483.0,1470.0,1518.0,1490.33333333
91320,215.0,308.0,294.0,272.333333333
91321,330.0,358.0,360.0,349.333333333
91324,11.0,,,11.0
91325,1555.0,1548.0,1485.0,1529.33333333
91326,157.0,154.0,193.0,168.0
91331,449.0,441.0,440.0,443.333333333
91335,412.0,451.0,493.0,452.0
91340,418.0,438.0,520.0,458.666666667
91342,1000.0,1131.0,863.0,998.0
91343,1717.0,1589.0,1669.0,1658.33333333
91344,1506.0,1376.0,1047.0,1309.66666667
91345,1666.0,1648.0,1729.0,1681.0
91350,64.0,34.0,185.0,94.3333333333
91351,708.0,800.0,625.0,711.0
91352,1549.0,1364.0,1330.0,1414.33333333
91355,818.0,904.0,979.0,900.333333333
91356,155.0,144.0,259.0,186.0
91360,1654.0,1782.0,1540.0,1658.66666667
91361,629.0,583.0,578.0,596.666666667
91362,2054.0,1962.0,2067.0,2027.66666667
91364,1043.0,1074.0,1056.0,1057.66666667
91367,679.0,709.0,759.0,715.666666667
91377,,29.0,32.0,30.5
91381,,,9.0,9.0
91384,6.0,,,6.0
91387,105.0,129.0,139.0,124.333333333
91390,155.0,133.0,121.0,136.333333333
91401,952.0,679.0,955.0,862.0
91402,1457.0,1289.0,1245.0,1330.33333333
91403,442.0,407.0,441.0,430.0
91405,507.0,399.0,407.0,437.666666667
91406,547.0,555.0,575.0,559.0
91411,143.0,183.0,184.0,170.0
91423,2286.0,2455.0,2491.0,2410.66666667
91436,677.0,550.0,572.0,599.666666667
91501,483.0,424.0,410.0,439.0
91502,70.0,78.0,78.0,75.3333333333
91504,272.0,282.0,259.0,271.0
91505,408.0,426.0,520.0,451.333333333
91506,305.0,315.0,345.0,321.666666667
91601,807.0,816.0,848.0,823.666666667
91602,562.0,575.0,577.0,571.333333333
91604,1089.0,1054.0,1065.0,1069.33333333
91605,20.0,,,20.0
91606,1593.0,1523.0,1365.0,1493.66666667
91607,1664.0,1638.0,1754.0,1685.33333333
91701,49.0,22.0,57.0,42.6666666667
91702,276.0,275.0,279.0,276.666666667
91706,510.0,497.0,371.0,459.333333333
91708,,11.0,7.0,9.0
91709,386.0,428.0,464.0,426.0
91710,723.0,716.0,682.0,707.0
91711,1446.0,1445.0,1420.0,1437.0
91722,585.0,580.0,527.0,564.0
91723,292.0,289.0,423.0,334.666666667
91724,752.0,729.0,611.0,697.333333333
91730,566.0,673.0,658.0,632.333333333
91731,457.0,361.0,388.0,402.0
91733,127.0,138.0,121.0,128.666666667
91737,181.0,204.0,251.0,212.0
91739,298.0,317.0,317.0,310.666666667
91740,435.0,431.0,445.0,437.0
91741,1086.0,1042.0,1003.0,1043.66666667
91744,418.0,513.0,525.0,485.333333333
91745,681.0,660.0,670.0,670.333333333
91746,1605.0,1609.0,1603.0,1605.66666667
91748,157.0,169.0,156.0,160.666666667
91750,1443.0,1376.0,1355.0,1391.33333333
91752,265.0,146.0,139.0,183.333333333
91754,543.0,390.0,382.0,438.333333333
91755,163.0,154.0,181.0,166.0
91761,103.0,92.0,85.0,93.3333333333
91762,1672.0,1599.0,1293.0,1521.33333333
91763,240.0,209.0,216.0,221.666666667
91764,103.0,203.0,107.0,137.666666667
91765,76.0,144.0,140.0,120.0
91766,6.0,,,6.0
91767,417.0,282.0,341.0,346.666666667
91768,507.0,610.0,455.0,524.0
91770,619.0,553.0,531.0,567.666666667
91773,526.0,519.0,562.0,535.666666667
91775,908.0,831.0,774.0,837.666666667
91776,1010.0,1089.0,1034.0,1044.33333333
91780,271.0,247.0,227.0,248.333333333
91784,196.0,169.0,163.0,176.0
91786,988.0,983.0,1057.0,1009.33333333
91789,664.0,607.0,687.0,652.666666667
91790,734.0,461.0,438.0,544.333333333
91791,593.0,485.0,470.0,516.0
91792,,,75.0,75.0
91801,615.0,596.0,590.0,600.333333333
91803,589.0,499.0,455.0,514.333333333
91901,80.0,,,80.0
91902,19.0,,,19.0
91910,829.0,782.0,875.0,828.666666667
