Zip,zindex,ai_avg_w,ai_num11,ai_num12,ai_num13,ai_num_avg
95521,276100.0,746.0,16.0,22.0,27.0,21.6666666667
95540,244000.0,621.0,24.0,24.0,29.0,25.6666666667
95567,264200.0,746.0,23.0,20.0,18.0,20.3333333333
95603,340900.0,781.0,12.0,11.0,12.0,11.6666666667
95608,430500.0,732.0,17.0,14.0,18.0,16.3333333333
95621,275000.0,620.0,14.0,18.0,20.0,17.3333333333
95623,266900.0,835.0,21.0,20.0,12.0,17.6666666667
95624,329700.0,722.0,15.0,15.0,11.0,13.6666666667
95628,417000.0,762.5,52.0,53.0,40.0,48.3333333333
95642,257600.0,681.0,11.0,11.0,12.0,11.3333333333
95648,379300.0,833.0,12.0,12.0,15.0,13.0
95650,473700.0,799.0,15.0,16.0,15.0,15.3333333333
95661,379100.0,820.0,12.0,18.0,13.0,14.3333333333
95662,330800.0,817.0,52.0,51.0,46.0,49.6666666667
95667,279600.0,769.0,29.0,23.0,31.0,27.6666666667
95691,295400.0,709.5,38.0,42.0,35.0,38.3333333333
95726,217800.0,848.0,12.0,13.0,11.0,12.0
95829,301700.0,688.0,11.0,13.0,11.0,11.6666666667
95901,161900.0,753.5,72.0,77.0,76.0,75.0
95926,255500.0,761.5,38.0,40.0,37.0,38.3333333333
95945,285400.0,781.0,40.0,28.0,21.0,29.6666666667
95961,169400.0,660.0,42.0,27.0,28.0,32.3333333333
95965,154100.0,757.333333333,54.0,52.0,49.0,51.6666666667
95966,159000.0,736.428571429,263.0,225.0,144.0,210.666666667
96001,217900.0,790.75,109.0,108.0,105.0,107.333333333
96002,209900.0,761.833333333,126.0,127.0,116.0,123.0
96003,234100.0,860.666666667,61.0,63.0,63.0,62.3333333333
96007,174000.0,756.5,116.0,108.0,124.0,116.0
96013,121900.0,731.0,41.0,38.0,46.0,41.6666666667
96019,150900.0,777.333333333,134.0,116.0,100.0,116.666666667
96022,190200.0,801.0,42.0,40.0,43.0,41.6666666667
96073,313300.0,790.0,24.0,30.0,26.0,26.6666666667
96080,145500.0,743.0,20.0,22.0,24.0,22.0
96093,166700.0,718.0,34.0,33.0,30.0,32.3333333333
96097,132300.0,738.0,56.0,58.0,57.0,57.0
96130,115800.0,685.666666667,101.0,94.0,84.0,93.0
