Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
91324,508200.0,915.0,172.0,180.0,201.0,184.333333333
91325,586700.0,897.0,203.0,227.0,199.0,209.666666667
91331,357500.0,848.333333333,74.0,77.0,64.0,71.6666666667
91335,422400.0,891.75,283.0,276.0,257.0,272.0
91342,404800.0,917.0,14.0,19.0,15.0,16.0
91343,456200.0,907.875,305.0,320.0,351.0,325.333333333
91344,523800.0,898.571428571,618.0,590.0,598.0,602.0
91350,456400.0,904.833333333,183.0,160.0,152.0,165.0
91351,399000.0,894.0,228.0,205.0,198.0,210.333333333
91352,396600.0,842.5,109.0,106.0,110.0,108.333333333
91354,496900.0,935.0,205.0,233.0,250.0,229.333333333
91355,464500.0,914.0,282.0,289.0,280.0,283.666666667
91356,834400.0,919.0,39.0,45.0,51.0,45.0
91360,602000.0,919.5,35.0,50.0,45.0,43.3333333333
91362,719600.0,934.5,38.0,39.0,40.0,39.0
91364,766500.0,840.0,73.0,76.0,75.0,74.6666666667
91367,625800.0,862.666666667,229.0,237.0,165.0,210.333333333
91384,468800.0,901.666666667,84.0,87.0,73.0,81.3333333333
91387,446100.0,927.0,28.0,29.0,35.0,30.6666666667
91401,629700.0,835.0,32.0,29.0,27.0,29.3333333333
91402,356400.0,860.666666667,209.0,185.0,157.0,183.666666667
91405,431500.0,833.5,76.0,73.0,69.0,72.6666666667
91406,453400.0,837.5,87.0,76.0,71.0,78.0
91411,571600.0,871.0,180.0,181.0,198.0,186.333333333
91423,821000.0,913.0,44.0,50.0,53.0,49.0
91502,445800.0,873.0,75.0,89.0,94.0,86.0
91504,646700.0,910.666666667,95.0,86.0,85.0,88.6666666667
91505,615100.0,913.0,71.0,71.0,69.0,70.3333333333
91506,640600.0,904.666666667,194.0,180.0,172.0,182.0
91601,512400.0,870.0,41.0,46.0,42.0,43.0
91602,680600.0,925.0,23.0,27.0,20.0,23.3333333333
91605,423200.0,899.5,63.0,70.0,64.0,65.6666666667
91701,470000.0,915.0,131.0,125.0,129.0,128.333333333
91702,366600.0,814.5,26.0,29.0,33.0,29.3333333333
91706,361100.0,867.833333333,139.0,131.0,128.0,132.666666667
91708,423500.0,934.0,49.0,56.0,65.0,56.6666666667
91709,584100.0,924.615384615,731.0,736.0,745.0,737.333333333
