Zip,zindex,hi_avg_w,hi_num11,hi_num12,hi_num13,hi_num_avg,,zindex rank,avg_w rank,,,,
90403,958100,865.6666667,306,285,296,295.6666667,,1017,1070,,,,
90404,726000,842.5,324,317,308,316.3333333,,909,996.5,,,,
90405,1171700,782.8,1782,1742,1628,1717.333333,,1058,711,,,,
90501,545800,747,1395,1423,1577,1465,,741,394,,,,
90502,371800,753,607,593,598,599.3333333,,453,454,,,,
90503,738500,832.25,977,1014,1083,1024.666667,,922,959,,,,
90504,579000,810.875,1494,1558,1556,1536,,775,878,,,,
90505,812100,841.1428571,603,628,689,640,,970,994,,,,
90601,432600,793.5714286,4112,3964,4005,4027,,578,793.5,,,,
90602,448600,813,585,562,552,566.3333333,,609,888,,,,
90603,480800,879.6666667,509,572,637,572.6666667,,657,1092,,,,
90604,443500,804.9230769,5907,5891,5949,5915.666667,,595,848,,,,
90605,408100,744.7,4181,4240,4717,4379.333333,,525,378,,,,
90606,382400,784.625,3591,3586,3541,3572.666667,,474.5,729,,,,
90620,455700,823.5,1784,1812,1864,1820,,616.5,923,,,,
90621,467200,767,2498,2543,2489,2510,,633,570,,,,
90623,629200,813.6,1257,1306,1270,1277.666667,,817,892,,,,
90630,539800,848.375,1436,1528,1516,1493.333333,,735,1017,,,,
90631,469300,793,5850,5766,5786,5800.666667,,639,783.5,,,,
90638,466100,827.7,3095,3163,3221,3159.666667,,630,938,,,,
90640,422000,695.4166667,10550,10018,9694,10087.33333,,555,75,,,,
90650,375800,788,10071,9743,9607,9807,,460,752,,,,
90660,370700,770.7857143,7361,7200,7018,7193,,448,605,,,,
90670,403500,821.8,3572,3501,3427,3500,,511,917,,,,
90680,397700,738,525,510,534,523,,496,320.5,,,,
90701,443400,802.5,1017,1011,1047,1025,,594,836.5,,,,
90703,634800,801.5555556,2607,2717,2881,2735,,822,832,,,,
90704,576600,747,330,336,342,336,,771,394,,,,
90706,401700,749.875,3825,3801,3699,3775,,508,429,,,,
90710,472800,760.5,2248,2159,2064,2157,,645,519.5,,,,
90712,468900,810.125,1612,1587,1545,1581.333333,,637,875,,,,
90713,484900,782.2857143,3743,3624,3585,3650.666667,,663,707,,,,
90715,415400,778.4,1614,1659,1652,1641.666667,,543,674,,,,
90716,324100,738,948,914,895,919,,376,320.5,,,,
90717,570100,814,1788,1729,1695,1737.333333,,761,894,,,,
90720,797000,910.375,1353,1451,1552,1452,,963,1120,,,,
90723,321000,786.6428571,8832,8906,8953,8897,,368.5,741,,,,
90731,496200,760.0769231,5039,4802,4764,4868.333333,,682,515,,,,
90732,552500,852.75,656,663,655,658,,750,1034,,,,
90740,809300,859,66,71,79,72,,969,1051,,,,
90744,372200,775.6,7430,6986,6119,6845,,455,650,,,,
90745,400900,747.9090909,4547,4047,3613,4069,,503,407,,,,
90746,442000,789.4285714,770,770,795,778.3333333,,591,762,,,,
90755,406800,800.3333333,628,644,754,675.3333333,,522,828,,,,
90802,278200,777.75,1601,1663,1759,1674.333333,,301,668.5,,,,
90803,791800,849.2,454,428,444,442,,959,1021,,,,
90804,399100,763.2,2776,2782,2812,2790,,500,543,,,,
90805,345800,744.6923077,6796,6642,6692,6710,,417,377,,,,
90806,422800,785.25,1348,1427,1452,1409,,557,733,,,,
90807,515000,808.75,1034,1075,1048,1052.333333,,707,869,,,,
90808,567700,813.375,2141,1977,2048,2055.333333,,758,889,,,,
90810,349300,726.125,3849,3792,3773,3804.666667,,421,229,,,,
90813,321000,724.5555556,4025,4112,4188,4108.333333,,368.5,219,,,,
90814,642700,827,368,394,415,392.3333333,,827,935,,,,
90815,572700,812.75,3371,3461,3238,3356.666667,,765.5,886,,,,
91001,650900,753.1428571,1050,1034,1064,1049.333333,,836,457,,,,
91006,1031300,846.6,795,767,770,777.3333333,,1037,1014,,,,
91007,1126100,851.1666667,538,593,611,580.6666667,,1052,1031,,,,
91010,429800,748.875,2139,2076,2046,2087,,572,420,,,,
91011,1435500,922.5,289,312,313,304.6666667,,1095,1126,,,,
91016,560300,762.1,2455,2537,2534,2508.666667,,755,531,,,,
91024,828200,862,269,262,264,265,,978,1059,,,,
91030,851900,853.4,687,771,816,758,,987,1036,,,,
91040,462100,804.6666667,874,870,877,873.6666667,,626,846,,,,
91042,474400,742.2,1203,1070,978,1083.666667,,650,358,,,,
91101,452600,777,444,488,485,472.3333333,,612,660.5,,,,
91103,581100,742.6,1636,1575,1506,1572.333333,,776,363.5,,,,
91104,648700,773.25,1609,1639,1637,1628.333333,,833,627,,,,
91105,1021400,753,123,135,120,126,,1033,454,,,,
91106,554400,709,784,746,746,758.6666667,,751,127.5,,,,
91107,764300,719.9090909,3322,3449,3488,3419.666667,,938,188,,,,
91108,2134200,890.25,195,214,233,214,,1115,1104,,,,
91201,645700,806.3333333,226,245,245,238.6666667,,830,860,,,,
91202,655700,802.6666667,634,636,610,626.6666667,,844,838,,,,
91203,411500,833,96,82,99,92.33333333,,531,962.5,,,,
91204,424600,788,250,258,278,262,,564,752,,,,
91205,508400,790.4,1294,1308,1357,1319.666667,,697,770.5,,,,
91206,657400,751.6,875,909,875,886.3333333,,847,443,,,,
91208,817600,877.5,119,141,158,139.3333333,,973,1088,,,,
