id2,name,zindex,latitude3,longitude4
26483,Pico Rivera,370700,33.989459,-118.088081
54212,Rosemead,490900,34.057849,-118.082032
25459,Laguna Niguel,741700,33.530415,-117.706797
50749,Arcadia,1069100,34.140426,-118.029811
21412,Yorba Linda,720400,33.898388,-117.757562
18874,La Habra,446700,33.926132,-117.947859
6923,San Luis Obispo,614600,35.269016,-120.696751
33837,San Gabriel,645300,34.101625,-118.094048
45164,Encinitas,818700,33.049633,-117.253494
45398,Gardena,405500,33.891008,-118.308626
53643,Novato,676200,38.112831,-122.593237
396053,Florence-Graham,259700,33.966116,-118.241936
53571,Newport Beach,1293500,33.627799,-117.899136
53487,National City,316800,32.669908,-117.090037
11604,Gilroy,596300,37.074307,-121.556363
13693,San Clemente,832900,33.454278,-117.594815
17155,Brentwood,453700,37.908393,-121.681435
6809,Rocklin,389100,38.809539,-121.26166
48569,Woodland,270600,38.727711,-121.818707
13929,South San Francisco,700900,37.656627,-122.423123
52852,Lake Elsinore,263100,33.660419,-117.367734
19078,Lompoc,254400,34.640326,-120.431864
6021,Monterey Park,546200,34.050917,-118.133323
51659,Davis,551200,38.556817,-121.735171
26679,Rancho Cordova,266800,38.56999,-121.201842
737790,Eastvale,,33.975991,-117.5816
37015,Azusa,365100,34.172621,-117.857138
17310,Carmichael,392900,38.62161,-121.32816
24349,Delano,146800,35.75634,-119.152768
37971,Colton,209600,34.057163,-117.318854
25953,Montebello,422500,34.008811,-118.108367
4281,Cupertino,1550600,37.303153,-122.065913
6943,Santee,396300,32.859233,-116.988262
8384,Fountain Valley,666000,33.709868,-117.947894
118225,South Whittier,412600,33.936144,-118.028011
21417,Yucaipa,303600,34.041508,-117.014126
11626,Glendora,505500,34.164371,-117.844806
45602,Hacienda Heights,576900,34.002225,-117.967913
26531,Placentia,571500,33.881798,-117.850289
9255,San Pablo,293000,37.980211,-122.333302
20044,Poway,604800,32.99678,-117.012476
6395,Paramount,321000,33.899154,-118.165389
41665,West Sacramento,263100,38.633722,-121.596593
52547,Hollister,405900,36.895314,-121.243378
30788,Cathedral City,233500,33.816544,-116.458117
11274,El Centro,162200,32.771061,-115.603448
28485,Highland,257600,34.109605,-117.162052
38134,Danville,1047400,37.810227,-121.92867
13127,Oroville,157600,39.576652,-121.527953
5465,La Mirada,466000,33.900793,-118.00722
46500,Menifee,310200,33.698807,-117.18833
30785,Castro Valley,635000,37.715728,-122.064723
37086,Aliso Viejo,530600,33.573513,-117.72646
29143,Lincoln,379500,38.938844,-121.327846
33306,Palm Desert,323600,33.733142,-116.368706
24384,Diamond Bar,615600,34.000641,-117.815464
12592,Martinez,460300,37.985637,-122.142926
17272,Campbell,890400,37.280101,-121.956668
51701,Desert Hot Springs,152500,33.873246,-116.345311
10774,Cerritos,633500,33.866892,-118.069461
49611,Newark,581400,37.51463,-122.042433
16961,Bell Gardens,337200,33.965686,-118.149943
46965,Palm Springs,295600,33.761273,-116.58125
11400,Fallbrook,489500,33.417876,-117.314459
32923,Monrovia,561500,34.161116,-117.987594
15554,Rancho Santa Margarita,582200,33.598968,-117.607449
6919,San Jacinto,200500,33.811015,-116.971064
44833,Cypress,540400,33.819071,-118.037816
21991,Lakeside,409300,32.893918,-116.876369
50800,Auburn,354400,38.942691,-121.082933
17150,Brea,593800,33.937955,-117.846933
4650,Fair Oaks,497800,38.649728,-121.248938
22827,Rowland Heights,572700,33.979795,-117.890291
39306,La Puente,364100,34.034007,-117.960022
45191,Eureka,224300,40.754594,-123.938234
11685,Grass Valley,306700,39.116849,-121.076889
39748,Menlo Park,1638000,37.459349,-122.178952
46316,Los Banos,,36.988948,-120.969024
23635,Beaumont,253100,33.935251,-116.98925
43354,Ramona,433000,33.070023,-116.835219
13691,San Bruno,728800,37.620946,-122.434612
47746,Sonoma,587100,38.241203,-122.458654
30187,Altadena,652000,34.222347,-118.125885
32927,Montclair,332300,34.071638,-117.700826
20265,Rubidoux,271900,33.993964,-117.419078
51751,Dublin,668100,37.717821,-121.905636
19811,Pacifica,714100,37.602952,-122.465101
19728,Oakley,335400,38.034334,-121.65714
51617,Culver City,767800,34.0059,-118.409023
50616,Coachella,161700,33.706011,-116.150039
10389,Beverly Hills,2697700,34.082549,-118.399533
47021,Paso Robles,388600,35.461346,-120.799699
18883,La Quinta,375300,33.581905,-116.327636
30399,Bell,337400,33.981161,-118.179165
33840,San Juan Capistrano,693000,33.522811,-117.592542
48424,West Hollywood,647000,34.087231,-118.369611
53925,Pleasant Hill,597500,37.953827,-122.077801
19100,Los Gatos,1465800,37.231918,-121.951534
19177,Manhattan Beach,1855400,33.894794,-118.404256
7304,Barstow,93000,34.982144,-116.973385
40754,Sanger,174000,36.798283,-119.399819
46218,Lemoore,180700,36.289587,-119.83249
10662,Calexico,174000,32.737819,-115.559698
54666,Tehachapi,212500,35.130068,-118.505268
10772,Ceres,200900,37.555304,-120.962572
50797,Atwater,,37.299948,-120.65282
26965,Santa Paula,361300,34.425463,-119.082304
118914,Westmont,319000,33.945206,-118.304638
6819,Rohnert Park,414400,38.343412,-122.703912
57277,Reedley,170000,36.659035,-119.434549
54053,Rancho Palos Verdes,1157600,33.758699,-118.35981
31623,Foster City,1125100,37.554913,-122.266795
17931,El Dorado Hills,521000,38.674555,-121.052979
