Zip,zindex,wh_avg_w,wh_num11,wh_num12,wh_num13,wh_num_avg,,zindex rank,avg_w rank,,,,
90755,406800,875,21,20,18,19.66666667,,485,693.5,,,,
90803,791800,930.2,1073,1104,1121,1099.333333,,913,996,,,,
90804,399100,843.25,909,887,834,876.6666667,,466,490,,,,
90805,345800,761,164,131,121,138.6666667,,387,79,,,,
90806,422800,845,31,29,29,29.66666667,,519,502,,,,
90807,515000,929.3333333,435,430,428,431,,665,988,,,,
90808,567700,899.75,1648,1608,1632,1629.333333,,715,837,,,,
90810,349300,657,35,28,28,30.33333333,,390,5.5,,,,
90813,321000,864,482,411,432,441.6666667,,346.5,630,,,,
90814,642700,923,174,181,176,177,,782,962.5,,,,
90815,572700,898.375,2555,2506,2377,2479.333333,,721.5,831,,,,
91001,650900,832.5,284,289,364,312.3333333,,791,415,,,,
91006,1031300,915.6,566,538,543,549,,990,929,,,,
91007,1126100,899.8333333,725,731,708,721.3333333,,1005,838.5,,,,
91010,429800,844.75,253,237,212,234,,533,499,,,,
91011,1435500,956,1783,1815,1798,1798.666667,,1048,1064,,,,
91016,560300,882,1035,996,982,1004.333333,,712,740,,,,
91024,828200,933,381,424,470,425,,931,1007.5,,,,
91030,851900,940.2,1145,1114,1104,1121,,940,1023,,,,
91040,462100,865.6666667,721,666,643,676.6666667,,586,638,,,,
91042,474400,825.75,731,663,643,679,,610,367.5,,,,
91101,452600,921,108,110,104,107.3333333,,572,952.5,,,,
91103,581100,647,20,13,16,16.33333333,,732,3,,,,
91104,648700,908.3333333,374,393,425,397.3333333,,788,898,,,,
91105,1021400,937,18,28,39,28.33333333,,986,1017,,,,
91106,554400,809,62,72,73,69,,708,257.5,,,,
91107,764300,842.625,1172,1018,1055,1081.666667,,892,483,,,,
91108,2134200,941.25,762,750,715,742.3333333,,1068,1026,,,,
91201,645700,890.6666667,616,730,786,710.6666667,,785,794,,,,
91202,655700,817.3333333,1927,1879,1815,1873.666667,,799,311,,,,
91203,411500,877,220,217,212,216.3333333,,493,705,,,,
