Zip,zindex,aa_avg_w,aa_num11,aa_num12,aa_num13,aa_num_avg
90033,340200.0,829.0,25.0,31.0,26.0,27.3333333333
91387,446100.0,829.0,172.0,162.0,156.0,163.333333333
95130,980700.0,828.666666667,59.0,64.0,51.0,58.0
92532,323300.0,828.2,234.0,261.0,219.0,238.0
90403,958100.0,828.0,69.0,66.0,66.0,67.0
90065,599100.0,827.0,33.0,32.0,33.0,32.6666666667
94566,919800.0,826.666666667,85.0,91.0,78.0,84.6666666667
91377,692300.0,826.5,30.0,33.0,40.0,34.3333333333
91602,680600.0,825.5,168.0,166.0,178.0,170.666666667
91789,699700.0,825.0,170.0,152.0,143.0,155.0
91737,544700.0,823.4,468.0,449.0,401.0,439.333333333
92129,652300.0,823.142857143,236.0,221.0,213.0,223.333333333
92865,548700.0,823.0,11.0,13.0,17.0,13.6666666667
90601,432600.0,823.0,15.0,15.0,13.0,14.3333333333
91765,624600.0,822.0,298.0,276.0,288.0,287.333333333
91791,517900.0,821.5,144.0,137.0,125.0,135.333333333
94568,672000.0,821.0,202.0,225.0,225.0,217.333333333
93063,478800.0,821.0,14.0,15.0,13.0,14.0
91790,446000.0,820.5,116.0,120.0,117.0,117.666666667
92882,407800.0,819.8,389.0,404.0,378.0,390.333333333
91505,615100.0,819.5,32.0,40.0,45.0,39.0
93012,517700.0,819.5,44.0,48.0,42.0,44.6666666667
92584,309800.0,819.125,402.0,415.0,355.0,390.666666667
92081,466600.0,818.5,97.0,94.0,82.0,91.0
92612,659300.0,818.5,52.0,56.0,53.0,53.6666666667
92260,321800.0,818.5,66.0,63.0,44.0,57.6666666667
92126,461200.0,817.666666667,443.0,386.0,357.0,395.333333333
92110,503000.0,817.0,123.0,134.0,133.0,130.0
94582,944400.0,816.6,192.0,182.0,168.0,180.666666667
93035,487600.0,816.5,55.0,53.0,52.0,53.3333333333
93650,107400.0,815.0,30.0,24.0,42.0,32.0
94702,688800.0,815.0,34.0,35.0,35.0,34.6666666667
91701,470000.0,814.9,728.0,697.0,681.0,702.0
91384,468800.0,814.0,68.0,63.0,55.0,62.0
92691,606600.0,813.6,138.0,111.0,109.0,119.333333333
90701,443400.0,813.0,149.0,141.0,155.0,148.333333333
92845,532100.0,812.0,30.0,24.0,20.0,24.6666666667
90277,918300.0,812.0,184.0,197.0,230.0,203.666666667
94523,596100.0,811.8,116.0,128.0,142.0,128.666666667
95020,595400.0,811.666666667,50.0,54.0,57.0,53.6666666667
90623,629200.0,811.0,159.0,164.0,133.0,152.0
95135,922500.0,811.0,26.0,19.0,23.0,22.6666666667
96001,217900.0,811.0,42.0,47.0,57.0,48.6666666667
91362,719600.0,811.0,79.0,76.0,85.0,80.0
93612,166800.0,810.666666667,71.0,60.0,66.0,65.6666666667
91321,407200.0,810.6,262.0,247.0,224.0,244.333333333
95121,610000.0,810.5,106.0,100.0,94.0,100.0
91910,400100.0,810.25,297.0,258.0,244.0,266.333333333
91344,523800.0,810.25,607.0,533.0,516.0,552.0
91311,532200.0,810.166666667,363.0,352.0,301.0,338.666666667
92782,642300.0,809.5,43.0,47.0,47.0,45.6666666667
92211,325000.0,809.0,12.0,14.0,13.0,13.0
92879,363300.0,808.6,150.0,177.0,190.0,172.333333333
92251,188600.0,808.5,39.0,36.0,33.0,36.0
91040,462100.0,808.5,51.0,62.0,51.0,54.6666666667
92881,464300.0,808.2,547.0,542.0,555.0,548.0
92065,433000.0,808.0,12.0,13.0,14.0,13.0
92833,471300.0,807.5,86.0,75.0,72.0,77.6666666667
95119,720100.0,807.333333333,131.0,119.0,98.0,116.0
90815,572700.0,807.125,843.0,823.0,793.0,819.666666667
92648,797500.0,807.0,21.0,25.0,24.0,23.3333333333
92530,254000.0,806.875,277.0,303.0,239.0,273.0
90503,738500.0,806.6,158.0,168.0,163.0,163.0
91202,655700.0,806.5,45.0,48.0,43.0,45.3333333333
92604,682000.0,806.4,133.0,120.0,113.0,122.0
95765,405200.0,806.0,44.0,35.0,36.0,38.3333333333
93561,212400.0,806.0,15.0,12.0,18.0,15.0
92586,182700.0,805.5,109.0,96.0,67.0,90.6666666667
91364,766500.0,805.2,402.0,337.0,313.0,350.666666667
90034,847800.0,805.0,1228.0,1190.0,1152.0,1190.0
90814,642700.0,805.0,66.0,76.0,81.0,74.3333333333
96003,234100.0,804.5,35.0,28.0,24.0,29.0
95747,391600.0,804.333333333,267.0,241.0,202.0,236.666666667
90302,319500.0,803.666666667,1215.0,1298.0,1411.0,1308.0
92056,412800.0,803.666666667,69.0,76.0,85.0,76.6666666667
90631,469300.0,803.5,48.0,39.0,39.0,42.0
92630,597800.0,803.5,80.0,75.0,65.0,73.3333333333
91304,528800.0,803.4,175.0,145.0,149.0,156.333333333
93657,173900.0,802.5,55.0,43.0,46.0,48.0
91773,518300.0,802.25,122.0,121.0,114.0,119.0
91741,586600.0,802.0,46.0,55.0,54.0,51.6666666667
93010,525600.0,802.0,64.0,62.0,60.0,62.0
92131,671500.0,801.666666667,179.0,148.0,132.0,153.0
95139,672600.0,801.5,48.0,39.0,36.0,41.0
90712,468900.0,801.428571429,804.0,759.0,729.0,764.0
94611,942300.0,801.285714286,1095.0,1063.0,1108.0,1088.66666667
91786,402400.0,801.125,509.0,470.0,495.0,491.333333333
92807,627100.0,801.0,54.0,55.0,59.0,56.0
90808,567700.0,800.625,616.0,578.0,580.0,591.333333333
92780,574400.0,800.0,116.0,139.0,120.0,125.0
92591,377800.0,799.857142857,286.0,256.0,251.0,264.333333333
