Zip,zindex,aa_avg_w,aa_num11,aa_num12,aa_num13,aa_num_avg,,zindex rank,avg_w rank,,,,
90670,403500,794,46,37,31,38,,317,556.5,,,,
90701,443400,813,149,141,155,148.3333333,,389,638,,,,
90703,634800,838.25,976,998,932,968.6666667,,564,709,,,,
90706,401700,721.75,646,600,602,616,,315,239,,,,
90710,472800,744.5,568,522,560,550,,432,333.5,,,,
90712,468900,801.4285714,804,759,729,764,,426,587,,,,
90713,484900,735.4285714,1277,1265,1179,1240.333333,,442,302,,,,
90715,415400,755.25,272,264,271,269,,346,381,,,,
90716,324100,733,19,19,20,19.33333333,,226,291,,,,
90717,570100,797.3333333,405,368,339,370.6666667,,512,571,,,,
90720,797000,872,189,174,183,182,,678,778,,,,
90723,321000,746.7692308,803,785,792,793.3333333,,218.5,351,,,,
90731,496200,772.3,538,521,527,528.6666667,,455,464,,,,
90732,552500,864.6666667,110,93,92,98.33333333,,504,766,,,,
90744,372200,751.25,173,123,96,130.6666667,,276,367.5,,,,
90745,400900,746,1119,826,711,885.3333333,,310,346.5,,,,
90746,442000,764.25,1580,1482,1436,1499.333333,,386,430,,,,
90755,406800,773,219,203,199,207,,327,467,,,,
90802,278200,768.5,282,244,259,261.6666667,,168,442.5,,,,
90803,791800,799,197,196,176,189.6666667,,676,577.5,,,,
90804,399100,744.2,670,657,710,679,,308,331,,,,
90805,345800,720.6153846,1990,1778,1758,1842,,248,232,,,,
90806,422800,754.75,343,344,323,336.6666667,,357,379,,,,
90807,515000,790,753,761,750,754.6666667,,473,535.5,,,,
90808,567700,800.625,616,578,580,591.3333333,,510,583,,,,
90810,349300,737.1428571,923,833,744,833.3333333,,252,306,,,,
90813,321000,694.7777778,1320,1271,1195,1262,,218.5,138,,,,
90814,642700,805,66,76,81,74.33333333,,569,603,,,,
90815,572700,807.125,843,823,793,819.6666667,,515.5,614,,,,
91001,650900,744.375,494,466,466,475.3333333,,577,332,,,,
91007,1126100,844.5,43,65,65,57.66666667,,743,725,,,,
91010,429800,770.4,174,164,131,156.3333333,,370,453,,,,
91016,560300,778.4285714,340,332,327,333,,507,482,,,,
91024,828200,856,54,46,47,49,,689,751.5,,,,
91030,851900,833,66,70,70,68.66666667,,695,689.5,,,,
91040,462100,808.5,51,62,51,54.66666667,,416,619.5,,,,
91042,474400,695,34,35,39,36,,434,140,,,,
91101,452600,796,172,168,150,163.3333333,,404,564.5,,,,
91103,581100,713.2,394,373,360,375.6666667,,525,210,,,,
91104,648700,772,269,274,254,265.6666667,,574,461.5,,,,
91105,1021400,732,28,23,21,24,,731,284.5,,,,
91106,554400,664.5,271,280,247,266,,505,67,,,,
91107,764300,745.6666667,870,751,695,772,,657,343.5,,,,
91202,655700,806.5,45,48,43,45.33333333,,583,610,,,,
91205,508400,795,35,34,31,33.33333333,,465,560,,,,
91206,657400,847,37,36,36,36.33333333,,585,731,,,,
91214,702100,706,43,29,43,38.33333333,,622,187.5,,,,
91301,753500,848.5,37,31,41,36.33333333,,653,736,,,,
91302,1308000,827.3333333,80,93,81,84.66666667,,766,671,,,,
91303,394400,754.25,98,105,99,100.6666667,,301,377,,,,
91304,528800,803.4,175,145,149,156.3333333,,484,595,,,,
91306,448200,730.25,99,105,104,102.6666667,,401,273,,,,
91307,572700,881.5,76,52,59,62.33333333,,515.5,786,,,,
91311,532200,810.1666667,363,352,301,338.6666667,,487,624,,,,
91316,534800,870.3333333,77,68,72,72.33333333,,492,776,,,,
91320,614200,846,72,69,59,66.66666667,,552,728,,,,
91321,407200,810.6,262,247,224,244.3333333,,328,628,,,,
91324,508200,846.5,208,191,199,199.3333333,,464,730,,,,
91325,586700,837.8571429,237,221,222,226.6666667,,530,707,,,,
91326,676100,884.3333333,92,75,74,80.33333333,,601,789,,,,
91331,357500,687,75,62,72,69.66666667,,260,112,,,,
91335,422400,754,373,343,333,349.6666667,,356,376,,,,
91340,345700,775,18,14,12,14.66666667,,247,470.5,,,,
91342,404800,720.5,159,140,122,140.3333333,,321,231,,,,
91343,456200,783.5714286,179,161,183,174.3333333,,409,509,,,,
91344,523800,810.25,607,533,516,552,,480,625.5,,,,
91345,419000,868,16,19,13,16,,352,769.5,,,,
91350,456400,852.3333333,69,79,76,74.66666667,,410,745,,,,
91351,399000,793,280,283,296,286.3333333,,307,552,,,,
91352,396600,685.5,25,32,33,30,,303,109,,,,
91354,496900,858,124,118,115,119,,456,757.5,,,,
91355,464500,758.75,198,207,186,197,,418,400,,,,
91356,834400,772.75,199,203,208,203.3333333,,690,466,,,,
91360,602000,788,32,25,25,27.33333333,,539,529.5,,,,
91362,719600,811,79,76,85,80,,632,631.5,,,,
91364,766500,805.2,402,337,313,350.6666667,,659,605,,,,
91367,625800,774.2,540,514,547,533.6666667,,558,468,,,,
91377,692300,826.5,30,33,40,34.33333333,,616.5,668,,,,
91384,468800,814,68,63,55,62,,425,640,,,,
91387,446100,829,172,162,156,163.3333333,,395,675.5,,,,
