Zip,zindex,avg_w,zindex rank,avg_w rank,,,,,,
92595,327000,805,135,203,,,,,,
92596,344700,885.5,147,327,,,,,,
92626,641900,827,300,240,,,,,,
92629,776700,758,332,129.5,,,,,,
92630,597800,829,285,244.5,,,,,,
92656,511400,854,258,287.5,,,,,,
92660,1380600,670.6666667,366,39,,,,,,
92675,643900,783,301,170,,,,,,
92701,372000,837,163,258,,,,,,
92706,494100,741,245,106,,,,,,
92808,648200,939,303,363.5,,,,,,
92869,614000,828,294,241,,,,,,
93001,494700,820,247,230,,,,,,
93003,493400,817,244,223,,,,,,
93010,525600,775.5,266,157.5,,,,,,
93021,573700,641,279,22,,,,,,
93023,612300,728,293,82,,,,,,
93030,420200,664,203,34,,,,,,
93063,478800,689,235,48.5,,,,,,
93065,485800,734.7142857,239,94,,,,,,
93103,1029900,730,355,86,,,,,,
93105,1032000,874,356,315,,,,,,
93117,754600,813.5,326,216,,,,,,
93215,147100,712.5,14,67,,,,,,
93222,181900,865,42,299,,,,,,
93230,160900,816.4,22,221,,,,,,
93245,182200,847.3333333,43,271.5,,,,,,
93257,143500,647,12,24.5,,,,,,
93267,116300,876,4,316,,,,,,
93277,174600,756.75,34,128,,,,,,
93291,192700,617.5,51,14,,,,,,
93292,179400,589,39,9,,,,,,
93301,162500,750,24.5,119.5,,,,,,
93309,172800,541,28,4,,,,,,
93405,598800,918,286,347,,,,,,
93454,275200,737,96,99,,,,,,
93455,353800,850,152,277,,,,,,
93460,755800,866,327,302.5,,,,,,
93534,153200,573,17,6,,,,,,
93550,180500,702.5,41,59,,,,,,
93555,151700,846,16,268.5,,,,,,
93609,138100,750,8,119.5,,,,,,
93611,259400,804,88,201.5,,,,,,
93631,223500,831.25,67,251,,,,,,
93637,176400,493,36,3,,,,,,
93638,138300,685.5,9,45,,,,,,
93644,211100,772.5,61,151,,,,,,
93657,173900,868.5,31,306,,,,,,
93704,193800,948,53,368,,,,,,
93705,133800,794,6,188,,,,,,
93706,101700,567.3333333,1,5,,,,,,
93726,148100,617,15,13,,,,,,
93727,188400,663,46,33,,,,,,
93728,130500,668,5,36,,,,,,
93901,398700,695,178.5,53,,,,,,
93907,385200,712,170,65.5,,,,,,
93933,415600,594,200,10.5,,,,,,
93940,617500,814,295,217.5,,,,,,
93950,713000,865,317,299,,,,,,
93955,375500,878,165,321,,,,,,
94022,2764000,990,373,374,,,,,,
