Zip,zindex,as_avg_w,as_num11,as_num12,as_num13,as_num_avg,,zindex rank,avg_w rank,,,,
91006,1031300,973,1859,1851,1900,1870,,748,787,,,,
91007,1126100,963.8333333,3152,3122,2976,3083.333333,,762,748,,,,
91010,429800,877,67,75,71,71,,348,278,,,,
91011,1435500,981,791,811,817,806.3333333,,802,814.5,,,,
91016,560300,929,124,115,134,124.3333333,,497,553.5,,,,
91024,828200,961,22,22,22,22,,698,731,,,,
91030,851900,963.8,1251,1242,1207,1233.333333,,706,747,,,,
91040,462100,919,56,60,60,58.66666667,,396,496,,,,
91042,474400,874,73,62,62,65.66666667,,416,266,,,,
91101,452600,915,82,81,85,82.66666667,,383,470.5,,,,
91104,648700,894,51,50,56,52.33333333,,567,351,,,,
91106,554400,795,23,26,34,27.66666667,,495,61,,,,
91107,764300,923.25,116,128,136,126.6666667,,663,523,,,,
91108,2134200,973.5,1383,1370,1342,1365,,822,789,,,,
91201,645700,874,29,29,28,28.66666667,,564,266,,,,
91202,655700,929,254,282,280,272,,577,553.5,,,,
91204,424600,968,12,19,19,16.66666667,,342,773,,,,
91205,508400,902.5,101,86,78,88.33333333,,450,400,,,,
91206,657400,952.3333333,130,117,117,121.3333333,,580,690,,,,
91208,817600,948,154,160,170,161.3333333,,694,663,,,,
91214,702100,957.7777778,1655,1605,1570,1610,,622,709,,,,
91301,753500,952,229,224,248,233.6666667,,659,687,,,,
91302,1308000,951.8571429,340,330,316,328.6666667,,789,684,,,,
91303,394400,860.3333333,76,65,61,67.33333333,,280,220,,,,
91304,528800,904,144,175,173,164,,470,404,,,,
91306,448200,900.6,171,167,161,166.3333333,,380,386,,,,
91307,572700,960.3333333,103,250,271,208,,505.5,725,,,,
91311,532200,929.4,621,609,559,596.3333333,,472,555,,,,
91316,534800,966,24,33,36,31,,478,762,,,,
91320,614200,950.25,551,584,616,583.6666667,,544,675,,,,
91321,407200,941.6,254,223,217,231.3333333,,307,621,,,,
91324,508200,939.6666667,462,531,475,489.3333333,,449,608,,,,
91325,586700,901.7142857,402,470,520,464,,519,394,,,,
91326,676100,964.3333333,182,315,246,247.6666667,,598,750.5,,,,
91331,357500,927.5,52,54,64,56.66666667,,239,547,,,,
91335,422400,880.4545455,799,790,780,789.6666667,,335,295,,,,
91343,456200,898.1428571,215,205,209,209.6666667,,389,371,,,,
91344,523800,903.8181818,1057,1024,1000,1027,,466,403,,,,
91345,419000,993,25,32,41,32.66666667,,330,832,,,,
91350,456400,934.1666667,215,205,190,203.3333333,,390,582,,,,
91351,399000,906.6,233,203,174,203.3333333,,287,420,,,,
91352,396600,815,83,73,66,74,,283,89,,,,
91354,496900,952.6,430,427,453,436.6666667,,442,692,,,,
91355,464500,954,451,489,493,477.6666667,,399,695,,,,
91356,834400,922.5,193,200,182,191.6666667,,700,515.5,,,,
91360,602000,945.1428571,322,316,299,312.3333333,,530,639,,,,
91361,866800,951,44,47,34,41.66666667,,710,679.5,,,,
91362,719600,971,524,502,504,510,,634,782,,,,
91364,766500,932.25,182,233,252,222.3333333,,665,574,,,,
91367,625800,899.3333333,543,527,632,567.3333333,,550,379,,,,
91377,692300,986.4,401,441,518,453.3333333,,614.5,827,,,,
91384,468800,938,99,94,85,92.66666667,,406,599,,,,
91387,446100,925,151,127,122,133.3333333,,372,533,,,,
91401,629700,798,31,24,30,28.33333333,,553,62.5,,,,
91402,356400,851,14,12,17,14.33333333,,235,175,,,,
91403,842500,937,16,37,45,32.66666667,,701,595,,,,
91405,431500,737,55,56,51,54,,352,15.5,,,,
91406,453400,859.8,122,119,122,121,,384,216,,,,
91411,571600,930,390,381,393,388,,504,556.5,,,,
91423,821000,931,78,118,134,110,,695,565.5,,,,
91436,1336400,941,12,18,21,17,,794,615,,,,
91501,650500,915,62,53,62,59,,569,470.5,,,,
91502,445800,911,177,167,138,160.6666667,,369.5,444,,,,
91504,646700,968.5,151,157,156,154.6666667,,565,775,,,,
91505,615100,921.25,99,106,121,108.6666667,,545,508,,,,
91506,640600,919.75,188,187,174,183,,558,499,,,,
91601,512400,942,152,138,151,147,,455,623,,,,
91602,680600,966,133,150,192,158.3333333,,604,762,,,,
91604,1017400,981,18,49,51,39.33333333,,744,814.5,,,,
91605,423200,877.5,60,63,62,61.66666667,,337.5,282,,,,
91606,452000,952,13,27,28,22.66666667,,381.5,687,,,,
91607,702200,937,16,32,30,26,,623,595,,,,
91701,470000,922.625,428,440,449,439,,411,518,,,,
91706,361100,914.6875,474,493,500,489,,245,468,,,,
91708,423500,960,93,119,137,116.3333333,,339,724,,,,
91709,584100,947.1428571,1958,1979,1956,1964.333333,,517,657,,,,
91710,408200,893.2,427,442,452,440.3333333,,310,348,,,,
91711,597300,925.8888889,539,498,479,505.3333333,,525,538,,,,
91722,401500,941,39,40,33,37.33333333,,293,615,,,,
91723,436100,926,360,336,312,336,,359,540,,,,
91724,481800,920.6,142,150,146,146,,422,504,,,,
91730,364200,918,272,268,245,261.6666667,,248,490,,,,
91731,402300,895.6666667,573,575,527,558.3333333,,295,358,,,,
91732,414100,921.125,1233,1258,1225,1238.666667,,317,507,,,,
91733,395300,896.5,308,311,308,309,,281,360.5,,,,
91737,544700,944.2,404,410,407,407,,485,634,,,,
91739,547600,959.7777778,623,699,758,693.3333333,,490,723,,,,
91740,447100,963.5,53,59,65,59,,374,745,,,,
91741,586600,948.3333333,235,239,269,247.6666667,,518,667,,,,
91744,371600,846.5,110,116,91,105.6666667,,253,163,,,,
91745,578900,956.8181818,1638,1530,1539,1569,,513,706,,,,
91746,374500,869,26,29,35,30,,257,250,,,,
91748,562900,923.7142857,1963,1847,1838,1882.666667,,498,527,,,,
91750,540200,956,102,102,120,108,,483,705,,,,
91752,405200,913,48,57,59,54.66666667,,302.5,459.5,,,,
91754,546500,921.4,1770,1746,1761,1759,,489,511,,,,
91755,545500,914.6666667,526,556,511,531,,487,466.5,,,,
91761,357500,906,151,160,161,157.3333333,,239,417,,,,
91762,325400,905.8571429,180,168,164,170.6666667,,209,415,,,,
91763,332800,909.1666667,193,209,194,198.6666667,,216,434.5,,,,
