Zip,zindex,hi_avg_w,hi_num11,hi_num12,hi_num13,hi_num_avg
91316,534800.0,840.0,287.0,302.0,301.0,296.666666667
94708,997000.0,840.0,98.0,89.0,103.0,96.6666666667
95677,348700.0,839.8,322.0,296.0,329.0,315.666666667
93611,259400.0,839.705882353,3662.0,3905.0,4084.0,3883.66666667
95742,343900.0,839.0,64.0,69.0,71.0,68.0
92119,487000.0,839.0,652.0,604.0,601.0,619.0
92596,344700.0,838.2,799.0,807.0,889.0,831.666666667
92128,526900.0,837.833333333,457.0,502.0,566.0,508.333333333
94706,718100.0,837.4,368.0,456.0,479.0,434.333333333
94598,826800.0,837.0,312.0,371.0,440.0,374.333333333
92532,323300.0,835.8,1143.0,1584.0,1675.0,1467.33333333
90240,485500.0,835.5,2441.0,2377.0,2409.0,2409.0
95138,927000.0,835.5,152.0,134.0,116.0,134.0
94510,510400.0,835.333333333,606.0,602.0,622.0,610.0
92007,860900.0,835.0,91.0,85.0,83.0,86.3333333333
92618,723800.0,835.0,51.0,70.0,73.0,64.6666666667
91775,753000.0,834.5,378.0,409.0,380.0,389.0
92120,506600.0,834.5,1213.0,1207.0,1196.0,1205.33333333
92602,790000.0,834.25,629.0,682.0,784.0,698.333333333
94611,942300.0,834.222222222,552.0,546.0,633.0,577.0
95747,391600.0,833.916666667,1240.0,1236.0,1254.0,1243.33333333
93950,713000.0,833.0,210.0,254.0,288.0,250.666666667
91203,411500.0,833.0,96.0,82.0,99.0,92.3333333333
92612,659300.0,832.666666667,204.0,215.0,229.0,216.0
90503,738500.0,832.25,977.0,1014.0,1083.0,1024.66666667
91902,529400.0,832.0,399.0,412.0,421.0,410.666666667
91505,615100.0,831.8,1100.0,1115.0,1140.0,1118.33333333
91915,453700.0,831.75,1800.0,1989.0,2132.0,1973.66666667
91504,646700.0,831.0,593.0,581.0,558.0,577.333333333
91913,457300.0,830.636363636,4568.0,4598.0,4804.0,4656.66666667
91790,446000.0,830.1,3209.0,3343.0,3514.0,3355.33333333
92359,224900.0,830.0,160.0,163.0,164.0,162.333333333
92110,503000.0,830.0,389.0,379.0,383.0,383.666666667
91765,624600.0,830.0,1779.0,1905.0,1945.0,1876.33333333
93612,166800.0,829.8,1111.0,1162.0,1188.0,1153.66666667
91324,508200.0,829.25,1396.0,1418.0,1484.0,1432.66666667
92807,627100.0,828.75,1068.0,1172.0,1260.0,1166.66666667
92656,511400.0,828.75,1055.0,1069.0,1123.0,1082.33333333
91423,821000.0,828.0,869.0,887.0,863.0,873.0
92029,630500.0,828.0,77.0,79.0,93.0,83.0
90638,466100.0,827.7,3095.0,3163.0,3221.0,3159.66666667
91355,464500.0,827.555555556,1153.0,1129.0,1295.0,1192.33333333
91773,518300.0,827.4,2235.0,2205.0,2270.0,2236.66666667
90814,642700.0,827.0,368.0,394.0,415.0,392.333333333
94588,789400.0,826.333333333,367.0,358.0,348.0,357.666666667
94534,426900.0,826.111111111,1369.0,1475.0,1527.0,1457.0
92122,589500.0,825.8,1157.0,1106.0,1136.0,1133.0
92260,321800.0,825.8,1688.0,1751.0,1829.0,1756.0
95066,703100.0,825.666666667,198.0,214.0,215.0,209.0
95709,267200.0,825.0,65.0,64.0,76.0,68.3333333333
92011,767800.0,825.0,153.0,156.0,165.0,158.0
92397,242000.0,825.0,19.0,23.0,25.0,22.3333333333
94132,854100.0,824.5,172.0,195.0,221.0,196.0
90041,652000.0,824.444444444,3190.0,2803.0,2819.0,2937.33333333
93465,555700.0,824.25,255.0,272.0,316.0,281.0
90620,455700.0,823.5,1784.0,1812.0,1864.0,1820.0
92071,396000.0,822.3,1330.0,1383.0,1443.0,1385.33333333
92354,358900.0,822.0,226.0,162.0,161.0,183.0
92249,160800.0,822.0,842.0,842.0,874.0,852.666666667
90670,403500.0,821.8,3572.0,3501.0,3427.0,3500.0
92126,461200.0,821.555555556,1412.0,1380.0,1371.0,1387.66666667
90232,913100.0,820.5,382.0,387.0,376.0,381.666666667
94566,919800.0,819.25,608.0,629.0,646.0,627.666666667
92880,489900.0,818.857142857,3983.0,3840.0,3846.0,3889.66666667
93012,517700.0,818.833333333,1251.0,1331.0,1399.0,1327.0
94952,629400.0,818.8,185.0,175.0,201.0,187.0
90039,705900.0,818.4,852.0,840.0,775.0,822.333333333
92103,611200.0,818.4,808.0,937.0,1003.0,916.0
92584,309800.0,817.888888889,2725.0,2861.0,2800.0,2795.33333333
92104,478800.0,817.666666667,585.0,569.0,593.0,582.333333333
96001,217900.0,817.625,357.0,362.0,389.0,369.333333333
91711,597300.0,817.272727273,1902.0,1947.0,1964.0,1937.66666667
91356,834400.0,817.25,835.0,858.0,820.0,837.666666667
91910,400100.0,817.1875,7804.0,7646.0,7885.0,7778.33333333
91791,517900.0,816.777777778,3325.0,3286.0,3198.0,3269.66666667
94597,657200.0,816.5,163.0,180.0,198.0,180.333333333
92064,606400.0,816.3,1256.0,1321.0,1437.0,1338.0
90045,815900.0,816.142857143,770.0,818.0,805.0,797.666666667
95409,536500.0,816.0,311.0,325.0,342.0,326.0
92586,182700.0,816.0,598.0,605.0,588.0,597.0
95130,980700.0,814.75,610.0,633.0,624.0,622.333333333
95661,379100.0,814.111111111,641.0,642.0,687.0,656.666666667
90717,570100.0,814.0,1788.0,1729.0,1695.0,1737.33333333
92123,466800.0,813.857142857,603.0,527.0,527.0,552.333333333
90623,629200.0,813.6,1257.0,1306.0,1270.0,1277.66666667
90025,751100.0,813.4,1305.0,1153.0,1198.0,1218.66666667
91745,578900.0,813.4,4866.0,4872.0,4900.0,4879.33333333
90808,567700.0,813.375,2141.0,1977.0,2048.0,2055.33333333
90602,448600.0,813.0,585.0,562.0,552.0,566.333333333
95682,360100.0,812.8,338.0,362.0,402.0,367.333333333
90815,572700.0,812.75,3371.0,3461.0,3238.0,3356.66666667
91730,364200.0,811.818181818,2955.0,2926.0,2886.0,2922.33333333
91325,586700.0,811.5,2896.0,2856.0,2894.0,2882.0
91362,719600.0,811.0,1013.0,1045.0,1046.0,1034.66666667
94505,519100.0,811.0,116.0,107.0,119.0,114.0
92708,666300.0,810.928571429,2717.0,2739.0,2675.0,2710.33333333
90504,579000.0,810.875,1494.0,1558.0,1556.0,1536.0
95355,246900.0,810.625,3761.0,3884.0,3909.0,3851.33333333
96003,234100.0,810.5,248.0,287.0,278.0,271.0
90712,468900.0,810.125,1612.0,1587.0,1545.0,1581.33333333
95949,335100.0,810.0,120.0,135.0,133.0,129.333333333
92647,611300.0,809.923076923,2509.0,2550.0,2577.0,2545.33333333
92595,327000.0,809.714285714,1573.0,2141.0,2153.0,1955.66666667
91780,654900.0,809.5,887.0,905.0,939.0,910.333333333
90807,515000.0,808.75,1034.0,1075.0,1048.0,1052.33333333
91321,407200.0,808.666666667,3269.0,3444.0,3535.0,3416.0
92821,576900.0,808.222222222,1369.0,1424.0,1489.0,1427.33333333
95391,487100.0,807.666666667,227.0,229.0,256.0,237.333333333
92223,259100.0,807.333333333,2899.0,2967.0,3102.0,2989.33333333
92211,325000.0,807.0,266.0,300.0,316.0,294.0
92833,471300.0,806.777777778,2630.0,2609.0,2776.0,2671.66666667
91201,645700.0,806.333333333,226.0,245.0,245.0,238.666666667
94596,804600.0,806.333333333,186.0,178.0,173.0,179.0
95110,517500.0,806.333333333,865.0,906.0,939.0,903.333333333
92203,294400.0,806.0,929.0,1046.0,1055.0,1010.0
92270,482600.0,806.0,195.0,180.0,170.0,181.666666667
91901,487200.0,806.0,250.0,276.0,251.0,259.0
95372,206100.0,806.0,58.0,63.0,62.0,61.0
95124,896300.0,805.1,1151.0,1184.0,1215.0,1183.33333333
92371,214900.0,805.0,622.0,686.0,709.0,672.333333333
93426,388700.0,805.0,16.0,19.0,21.0,18.6666666667
92624,747800.0,805.0,99.0,99.0,104.0,100.666666667
91387,446100.0,805.0,744.0,739.0,648.0,710.333333333
93636,266000.0,805.0,403.0,457.0,476.0,445.333333333
90604,443500.0,804.923076923,5907.0,5891.0,5949.0,5915.66666667
92673,806300.0,804.833333333,1135.0,1111.0,1159.0,1135.0
91040,462100.0,804.666666667,874.0,870.0,877.0,873.666666667
94703,729400.0,804.25,450.0,546.0,520.0,505.333333333
93312,267200.0,804.1875,2715.0,2887.0,2949.0,2850.33333333
96055,133300.0,803.666666667,167.0,180.0,191.0,179.333333333
96073,313300.0,803.5,127.0,118.0,123.0,122.666666667
93427,491500.0,803.0,179.0,221.0,233.0,211.0
91344,523800.0,802.923076923,6785.0,6538.0,6459.0,6594.0
92705,792900.0,802.785714286,4932.0,5028.0,5183.0,5047.66666667
91202,655700.0,802.666666667,634.0,636.0,610.0,626.666666667
90701,443400.0,802.5,1017.0,1011.0,1047.0,1025.0
95655,301600.0,802.5,77.0,96.0,103.0,92.0
90230,639800.0,802.111111111,2184.0,2131.0,2039.0,2118.0
94949,769200.0,802.0,350.0,400.0,419.0,389.666666667
90302,319500.0,802.0,931.0,900.0,918.0,916.333333333
